source_id,split,scene_category,upstream_dataset,upstream_id,official_source,license_evidence_url,license,author,expected_width,expected_height,difficulty_tier,resolution_review_status,license_review_status,scene_review_status,content_safety_status,duplicate_review_status,review_status,review_notes
commons-04b71478b1de,held-out240,multi_product_commercial,wikimedia_commons,File:Korea Sale Festa 01 (30406838966).jpg,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_01_(30406838966).jpg,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_01_(30406838966).jpg#Licensing,CC BY-SA 2.0,"Republic of Korea from Seoul, Republic of Korea",5236,3257,aspect_hard_1,auto_dimensions_pass_pending_review,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-0995e8457c16,held-out240,multi_product_commercial,wikimedia_commons,File:Korea Sale Festa 04 (30326829002).jpg,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_04_(30326829002).jpg,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_04_(30326829002).jpg#Licensing,CC BY-SA 2.0,"Republic of Korea from Seoul, Republic of Korea",4432,2559,aspect_hard_1,auto_dimensions_pass_pending_review,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-0aa6b16504d2,held-out240,chinese_dense_poster,wikimedia_commons,File:1967-05 春耕海报.jpg,https://commons.wikimedia.org/wiki/File:1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg,https://commons.wikimedia.org/wiki/File:1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg#Licensing,Public domain,《人民画报》,1505,718,aspect_hard_2,rejected_below_1024x1600,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-0c86228a96b3,held-out240,single_product_promo,wikimedia_commons,File:Cigarettes-Egyptiennes-Nerma-Gaspar-Camps-1924.jpg,https://commons.wikimedia.org/wiki/File:Cigarettes-Egyptiennes-Nerma-Gaspar-Camps-1924.jpg,https://commons.wikimedia.org/wiki/File:Cigarettes-Egyptiennes-Nerma-Gaspar-Camps-1924.jpg#Licensing,Public domain,Gaspar Camps i Junyent,2411,3686,aspect_hard_1,auto_dimensions_pass_pending_review,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-13312197c810,held-out240,chinese_dense_poster,wikimedia_commons,File:China By Air Poster (18857330823).jpg,https://commons.wikimedia.org/wiki/File:China_By_Air_Poster_(18857330823).jpg,https://commons.wikimedia.org/wiki/File:China_By_Air_Poster_(18857330823).jpg#Licensing,Public domain,San Diego Air & Space Museum Archives,713,1100,aspect_hard_1,rejected_below_1024x1600,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-137b888c6f8f,held-out240,chinese_dense_poster,wikimedia_commons,File:20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (4).jpg,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(4).jpg,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(4).jpg#Licensing,CC BY-SA 2.0,tenz1225,3080,5472,aspect_hard_1,pending_pixel_download,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-16a27a41117e,held-out240,chinese_dense_poster,wikimedia_commons,"File:Beauty and grandeur, the Yangtze gorges, travel poster, ca. 1930.jpg","https://commons.wikimedia.org/wiki/File:Beauty_and_grandeur,_the_Yangtze_gorges,_travel_poster,_ca._1930.jpg","https://commons.wikimedia.org/wiki/File:Beauty_and_grandeur,_the_Yangtze_gorges,_travel_poster,_ca._1930.jpg#Licensing",Public domain,"Unknown artist for Butterfield & Swire (Shanghai, Hong Kong)",2382,3825,aspect_hard_1,pending_pixel_download,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-18d58fe71bbc,held-out240,chinese_dense_poster,wikimedia_commons,File:20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (1).jpg,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(1).jpg,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(1).jpg#Licensing,CC BY-SA 2.0,tenz1225,5472,3080,aspect_hard_1,pending_pixel_download,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-1ba61e53c83c,held-out240,chinese_dense_poster,wikimedia_commons,File:Adult Education Week - NARA - 5729900.jpg,https://commons.wikimedia.org/wiki/File:Adult_Education_Week_-_NARA_-_5729900.jpg,https://commons.wikimedia.org/wiki/File:Adult_Education_Week_-_NARA_-_5729900.jpg#Licensing,Public domain,Unknown author Unknown author or not provided,1953,3000,aspect_hard_1,pending_pixel_download,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-1bd7d49eab85,held-out240,chinese_dense_poster,wikimedia_commons,File:Dazibao.png,https://commons.wikimedia.org/wiki/File:Dazibao.png,https://commons.wikimedia.org/wiki/File:Dazibao.png#Licensing,Public domain,вмнс,407,154,aspect_hard_2,pending_pixel_download,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,"Auto-discovered candidate; exact File title frozen, not publication-approved."
