source_id,split,scene_category,secondary_tags,difficulty_tier,upstream_dataset,upstream_id,upstream_split,official_source,source_url,license_evidence_url,license,license_url,author,attribution,access_date,upstream_revision_timestamp,upstream_hash,raw_sha256,materialized_sha256,expected_width,expected_height,source_aspect,orientation,local_filename,redistribution_status,modification_notice,personality_rights_status,trademark_status,non_copyright_restrictions,source_resolution_limited,resolution_review_status,public_release_eligible,api_egress_allowed,license_review_status,scene_review_status,content_safety_status,duplicate_review_status,review_status,download_status,phash,review_notes
commons-04b71478b1de,held-out240,multi_product_commercial,,aspect_hard_1,wikimedia_commons,File:Korea Sale Festa 01 (30406838966).jpg,public_file,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_01_(30406838966).jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Korea_Sale_Festa_01_%2830406838966%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_01_(30406838966).jpg#Licensing,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea","Republic of Korea from Seoul, Republic of Korea — Korea Sale Festa 01 (30406838966).jpg — CC BY-SA 2.0 — via Wikimedia Commons",2026-08-11,2021-08-21T17:50:39Z,sha1:1b4abd99c193623d1ac368349e7fe559496e321b,8060bb0c9e62ac393cfd768bb4ae6a9074ddd95b0eea799e2e60bcd5d18bc785,8d02509915867fbf5c32de38882fcbecb26700dc4e8d835897d34194a6822274,5236,3257,1.60761437,landscape,images/commons-04b71478b1de.png,pending_per_file_review,metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,auto_dimensions_pass_pending_review,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,downloaded_review_copy,92bd123768c197f0,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-0995e8457c16,held-out240,multi_product_commercial,,aspect_hard_1,wikimedia_commons,File:Korea Sale Festa 04 (30326829002).jpg,public_file,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_04_(30326829002).jpg,https://upload.wikimedia.org/wikipedia/commons/2/2b/Korea_Sale_Festa_04_%2830326829002%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_04_(30326829002).jpg#Licensing,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea","Republic of Korea from Seoul, Republic of Korea — Korea Sale Festa 04 (30326829002).jpg — CC BY-SA 2.0 — via Wikimedia Commons",2026-08-11,2021-08-21T17:49:47Z,sha1:c3ebbd02092bedc2c0ea5927abd3b9a7810cc5c2,20d7a3f3efd4ea964912864138e5b54e2076cb2cc6f12a4b2e5394faa36e349f,ab0bf52f24c6a6ac7257b86af9ff946dc71e6a903a8da64551ce01bc76538acf,4432,2559,1.73192653,landscape,images/commons-0995e8457c16.png,pending_per_file_review,metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,auto_dimensions_pass_pending_review,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,downloaded_review_copy,9b5a2bb6f6602cb4,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-0aa6b16504d2,held-out240,chinese_dense_poster,,aspect_hard_2,wikimedia_commons,File:1967-05 春耕海报.jpg,public_file,https://commons.wikimedia.org/wiki/File:1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg#Licensing,《人民画报》,《人民画报》 — 1967-05 春耕海报.jpg — Public domain — via Wikimedia Commons,2026-08-11,2018-01-28T12:22:56Z,sha1:bc89c604fde0e7e3ef6f947475f72708d2150c49,2e564c3a992e5524ff9f2875575cd71a3446bf04cfcc79a9aea6a7b7cd107c5b,f36637d2c4ffec7492cb57296a1a0a788e19b0f599f1087309b1362bd1212e7f,1505,718,2.09610028,landscape,images/commons-0aa6b16504d2.png,pending_per_file_review,metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,rejected_below_1024x1600,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,downloaded_review_copy,bc9c9e1ba7c6e085,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-0c86228a96b3,held-out240,single_product_promo,,aspect_hard_1,wikimedia_commons,File:Cigarettes-Egyptiennes-Nerma-Gaspar-Camps-1924.jpg,public_file,https://commons.wikimedia.org/wiki/File:Cigarettes-Egyptiennes-Nerma-Gaspar-Camps-1924.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Cigarettes-Egyptiennes-Nerma-Gaspar-Camps-1924.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:Cigarettes-Egyptiennes-Nerma-Gaspar-Camps-1924.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Cigarettes-Egyptiennes-Nerma-Gaspar-Camps-1924.jpg#Licensing,Gaspar Camps i Junyent,Gaspar Camps i Junyent — Cigarettes-Egyptiennes-Nerma-Gaspar-Camps-1924.jpg — Public domain — via Wikimedia Commons,2026-08-11,2020-05-16T11:06:13Z,sha1:42fab53b66be7acd1e0ea42e2ea9a7d5e2cdfaef,cd22260adbe340c573251fa54db2cbc5ccd59a9c6ef38bdbb523c6dcacccbc82,df189261b535e69d93b807ca1655c125bf111e98c7da97d4fcfbf19455e7bfa1,2411,3686,0.65409658,portrait,images/commons-0c86228a96b3.png,pending_per_file_review,metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,auto_dimensions_pass_pending_review,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,downloaded_review_copy,c39997e4e499218f,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-13312197c810,held-out240,chinese_dense_poster,,aspect_hard_1,wikimedia_commons,File:China By Air Poster (18857330823).jpg,public_file,https://commons.wikimedia.org/wiki/File:China_By_Air_Poster_(18857330823).jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/China_By_Air_Poster_%2818857330823%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:China_By_Air_Poster_(18857330823).jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:China_By_Air_Poster_(18857330823).jpg#Licensing,San Diego Air & Space Museum Archives,San Diego Air & Space Museum Archives — China By Air Poster (18857330823).jpg — Public domain — via Wikimedia Commons,2026-08-11,2015-07-10T14:52:55Z,sha1:fc143609a02f0a86146b8ba982b4928d73be0935,01a7db9ac4b91aac9eaa800e82d84e5023d0fa3bec529b2fec099c26e056ee27,b49203b81f22d2f4607485b15614642b5ae8a9f81f7e7f5484ccbf3d5d9dd1e5,713,1100,0.64818182,portrait,images/commons-13312197c810.png,pending_per_file_review,metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,rejected_below_1024x1600,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,downloaded_review_copy,98ea679918c6e319,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-137b888c6f8f,held-out240,chinese_dense_poster,,aspect_hard_1,wikimedia_commons,File:20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (4).jpg,public_file,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(4).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%284%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(4).jpg#Licensing,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,tenz1225,tenz1225 — 20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (4).jpg — CC BY-SA 2.0 — via Wikimedia Commons,2026-08-11,2014-05-22T18:43:32Z,sha1:b0151c275adadbf75bf8991331e9a6e8e0d1c6db,,,3080,5472,0.56286550,portrait,images/commons-137b888c6f8f.png,pending_per_file_review,metadata removal pending,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,pending_pixel_download,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,not_downloaded,,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-16a27a41117e,held-out240,chinese_dense_poster,,aspect_hard_1,wikimedia_commons,"File:Beauty and grandeur, the Yangtze gorges, travel poster, ca. 1930.jpg",public_file,"https://commons.wikimedia.org/wiki/File:Beauty_and_grandeur,_the_Yangtze_gorges,_travel_poster,_ca._1930.jpg",https://upload.wikimedia.org/wikipedia/commons/8/89/Beauty_and_grandeur%2C_the_Yangtze_gorges%2C_travel_poster%2C_ca._1930.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Beauty_and_grandeur,_the_Yangtze_gorges,_travel_poster,_ca._1930.jpg#Licensing",Public domain,"https://commons.wikimedia.org/wiki/File:Beauty_and_grandeur,_the_Yangtze_gorges,_travel_poster,_ca._1930.jpg#Licensing","Unknown artist for Butterfield & Swire (Shanghai, Hong Kong)","Unknown artist for Butterfield & Swire (Shanghai, Hong Kong) — Beauty and grandeur, the Yangtze gorges, travel poster, ca. 1930.jpg — Public domain — via Wikimedia Commons",2026-08-11,2010-08-12T13:26:29Z,sha1:86a6dfd9a54c4d6dbf165c6aee9bb8059104e32e,,,2382,3825,0.62274510,portrait,images/commons-16a27a41117e.png,pending_per_file_review,metadata removal pending,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,pending_pixel_download,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,not_downloaded,,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-18d58fe71bbc,held-out240,chinese_dense_poster,,aspect_hard_1,wikimedia_commons,File:20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (1).jpg,public_file,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(1).jpg#Licensing,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,tenz1225,tenz1225 — 20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (1).jpg — CC BY-SA 2.0 — via Wikimedia Commons,2026-08-11,2014-05-22T18:24:08Z,sha1:868ccebdb5d37364ae09aa2d7bf67f975eeaf719,,,5472,3080,1.77662338,landscape,images/commons-18d58fe71bbc.png,pending_per_file_review,metadata removal pending,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,pending_pixel_download,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,not_downloaded,,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-1ba61e53c83c,held-out240,chinese_dense_poster,,aspect_hard_1,wikimedia_commons,File:Adult Education Week - NARA - 5729900.jpg,public_file,https://commons.wikimedia.org/wiki/File:Adult_Education_Week_-_NARA_-_5729900.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Adult_Education_Week_-_NARA_-_5729900.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:Adult_Education_Week_-_NARA_-_5729900.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Adult_Education_Week_-_NARA_-_5729900.jpg#Licensing,Unknown author Unknown author or not provided,Unknown author Unknown author or not provided — Adult Education Week - NARA - 5729900.jpg — Public domain — via Wikimedia Commons,2026-08-11,2012-10-13T13:12:09Z,sha1:246c42a6712253cae75acb830eda0dddd8bd59c7,,,1953,3000,0.65100000,portrait,images/commons-1ba61e53c83c.png,pending_per_file_review,metadata removal pending,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,pending_pixel_download,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,not_downloaded,,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-1bd7d49eab85,held-out240,chinese_dense_poster,,aspect_hard_2,wikimedia_commons,File:Dazibao.png,public_file,https://commons.wikimedia.org/wiki/File:Dazibao.png,https://upload.wikimedia.org/wikipedia/commons/3/35/Dazibao.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:Dazibao.png#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Dazibao.png#Licensing,вмнс,вмнс — Dazibao.png — Public domain — via Wikimedia Commons,2026-08-11,2016-09-24T07:22:07Z,sha1:e903b2574e6cb5607ed61bd2b5411abf440cd058,,,407,154,2.64285714,landscape,images/commons-1bd7d49eab85.png,pending_per_file_review,metadata removal pending,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,pending_pixel_download,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,not_downloaded,,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-1e63fe815c77,held-out240,chinese_dense_poster,,aspect_hard_1,wikimedia_commons,File:Sunflower Movement 立法院青島東路側門鐵門上的海報 (13299823645).jpg,public_file,https://commons.wikimedia.org/wiki/File:Sunflower_Movement_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(13299823645).jpg,https://upload.wikimedia.org/wikipedia/commons/9/91/Sunflower_Movement_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%2813299823645%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:Sunflower_Movement_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(13299823645).jpg#Licensing,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"tenz1225 from Taipei, Taiwan","tenz1225 from Taipei, Taiwan — Sunflower Movement 立法院青島東路側門鐵門上的海報 (13299823645).jpg — CC BY-SA 2.0 — via Wikimedia Commons",2026-08-11,2017-09-03T07:50:05Z,sha1:7d0893c78e4dcad870891501756dacc2d94c6437,,,3080,5472,0.56286550,portrait,images/commons-1e63fe815c77.png,pending_per_file_review,metadata removal pending,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,pending_pixel_download,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,not_downloaded,,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-1f3ce98efe7c,held-out240,landscape_architecture_structure,,aspect_hard_2,wikimedia_commons,"File:Building back façade, Avenida de Roma, Lisbon, Portugal julesvernex2.jpg",public_file,"https://commons.wikimedia.org/wiki/File:Building_back_fa%C3%A7ade,_Avenida_de_Roma,_Lisbon,_Portugal_julesvernex2.jpg",https://upload.wikimedia.org/wikipedia/commons/1/1a/Building_back_fa%C3%A7ade%2C_Avenida_de_Roma%2C_Lisbon%2C_Portugal_julesvernex2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Building_back_fa%C3%A7ade,_Avenida_de_Roma,_Lisbon,_Portugal_julesvernex2.jpg#Licensing",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Jules Verne Times Two,"Jules Verne Times Two — Building back façade, Avenida de Roma, Lisbon, Portugal julesvernex2.jpg — CC BY-SA 4.0 — via Wikimedia Commons",2026-08-11,2023-09-10T17:41:50Z,sha1:08fba23be4a9b6ccc6371965924538badf87364e,,,2098,4199,0.49964277,portrait,images/commons-1f3ce98efe7c.png,pending_per_file_review,metadata removal pending,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,pending_pixel_download,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,not_downloaded,,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-1f6aee8e4b8d,pilot60,multi_product_commercial,,aspect_hard_1,wikimedia_commons,File:Korea Sale Festa 12 (30024167426).jpg,public_file,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_12_(30024167426).jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Korea_Sale_Festa_12_%2830024167426%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_12_(30024167426).jpg#Licensing,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea","Republic of Korea from Seoul, Republic of Korea — Korea Sale Festa 12 (30024167426).jpg — CC BY-SA 2.0 — via Wikimedia Commons",2026-08-11,2021-08-21T18:24:58Z,sha1:ed24eb3e7256034143088dcac9c92f4159f698be,,,5166,3054,1.69155206,landscape,images/commons-1f6aee8e4b8d.png,pending_per_file_review,metadata removal pending,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,pending_pixel_download,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,not_downloaded,,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-2464953bad03,held-out240,chinese_dense_poster,,aspect_hard_1,wikimedia_commons,File:Kartás di filmi Tibaron (Film poster for Jaws).png,public_file,https://commons.wikimedia.org/wiki/File:Kart%C3%A1s_di_filmi_Tibaron_(Film_poster_for_Jaws).png,https://upload.wikimedia.org/wikipedia/commons/1/14/Kart%C3%A1s_di_filmi_Tibaron_%28Film_poster_for_Jaws%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:Kart%C3%A1s_di_filmi_Tibaron_(Film_poster_for_Jaws).png#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Kart%C3%A1s_di_filmi_Tibaron_(Film_poster_for_Jaws).png#Licensing,Everett Collection / Everett Col,Everett Collection / Everett Col — Kartás di filmi Tibaron (Film poster for Jaws).png — Public domain — via Wikimedia Commons,2026-08-11,2026-04-20T01:12:48Z,sha1:e2fd95e6546bec6617d11f8bc96a9f014f959f0b,,,2395,3600,0.66527778,portrait,images/commons-2464953bad03.png,pending_per_file_review,metadata removal pending,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,pending_pixel_download,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,not_downloaded,,"Auto-discovered candidate; exact File title frozen, not publication-approved."
commons-29752089e31d,held-out240,multi_product_commercial,,aspect_hard_2,wikimedia_commons,File:Korea Sale Festa 19 (29431510843).jpg,public_file,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_19_(29431510843).jpg,https://upload.wikimedia.org/wikipedia/commons/b/b7/Korea_Sale_Festa_19_%2829431510843%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:Korea_Sale_Festa_19_(29431510843).jpg#Licensing,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea","Republic of Korea from Seoul, Republic of Korea — Korea Sale Festa 19 (29431510843).jpg — CC BY-SA 2.0 — via Wikimedia Commons",2026-08-11,2021-08-21T18:23:02Z,sha1:14249e12b0816219619c940bdb852e7ad96bf5fb,,,3936,1968,2.00000000,landscape,images/commons-29752089e31d.png,pending_per_file_review,metadata removal pending,unknown_not_granted_by_copyright_license,unknown_not_granted_by_copyright_license,pending_per_file_review,false,pending_pixel_download,false,false,pending_file_page_review,pending_thumbnail_review,pending_thumbnail_review,pending_phash_review,pending,not_downloaded,,"Auto-discovered candidate; exact File title frozen, not publication-approved."
