task_id,source_id,target_id,enabled
commons-04b71478b1de__square-1536x1536,commons-04b71478b1de,square-1536x1536,true
commons-0995e8457c16__square-1536x1536,commons-0995e8457c16,square-1536x1536,true
commons-0aa6b16504d2__square-1536x1536,commons-0aa6b16504d2,square-1536x1536,true
commons-0c86228a96b3__square-1536x1536,commons-0c86228a96b3,square-1536x1536,true
commons-13312197c810__square-1536x1536,commons-13312197c810,square-1536x1536,true
commons-137b888c6f8f__square-1536x1536,commons-137b888c6f8f,square-1536x1536,true
commons-16a27a41117e__square-1536x1536,commons-16a27a41117e,square-1536x1536,true
commons-18d58fe71bbc__square-1536x1536,commons-18d58fe71bbc,square-1536x1536,true
commons-1ba61e53c83c__square-1536x1536,commons-1ba61e53c83c,square-1536x1536,true
commons-1bd7d49eab85__square-1536x1536,commons-1bd7d49eab85,square-1536x1536,true
commons-1e63fe815c77__square-1536x1536,commons-1e63fe815c77,square-1536x1536,true
commons-1f3ce98efe7c__square-1536x1536,commons-1f3ce98efe7c,square-1536x1536,true
commons-1f6aee8e4b8d__square-1536x1536,commons-1f6aee8e4b8d,square-1536x1536,true
commons-2464953bad03__square-1536x1536,commons-2464953bad03,square-1536x1536,true
commons-29752089e31d__square-1536x1536,commons-29752089e31d,square-1536x1536,true
commons-2a4e40da7cd9__square-1536x1536,commons-2a4e40da7cd9,square-1536x1536,true
commons-2c7bc5de267b__square-1536x1536,commons-2c7bc5de267b,square-1536x1536,true
commons-2fc910eb9d40__square-1536x1536,commons-2fc910eb9d40,square-1536x1536,true
commons-3349acd37038__square-1536x1536,commons-3349acd37038,square-1536x1536,true
commons-344b989117df__square-1536x1536,commons-344b989117df,square-1536x1536,true
commons-38daa7762286__square-1536x1536,commons-38daa7762286,square-1536x1536,true
commons-3fb624de8d78__square-1536x1536,commons-3fb624de8d78,square-1536x1536,true
commons-4120c53134c1__square-1536x1536,commons-4120c53134c1,square-1536x1536,true
commons-41c2f0b67cea__square-1536x1536,commons-41c2f0b67cea,square-1536x1536,true
commons-41da0a41ce89__square-1536x1536,commons-41da0a41ce89,square-1536x1536,true
commons-4347ff882f64__square-1536x1536,commons-4347ff882f64,square-1536x1536,true
commons-454d6f3d43ed__square-1536x1536,commons-454d6f3d43ed,square-1536x1536,true
commons-48008889c8fa__square-1536x1536,commons-48008889c8fa,square-1536x1536,true
commons-4afd4d060d0c__square-1536x1536,commons-4afd4d060d0c,square-1536x1536,true
commons-4cdcd0c245e8__square-1536x1536,commons-4cdcd0c245e8,square-1536x1536,true
commons-4cdf688a2e09__square-1536x1536,commons-4cdf688a2e09,square-1536x1536,true
commons-4d1614f4ed03__square-1536x1536,commons-4d1614f4ed03,square-1536x1536,true
commons-50f10beadb5f__square-1536x1536,commons-50f10beadb5f,square-1536x1536,true
commons-52a30487d653__square-1536x1536,commons-52a30487d653,square-1536x1536,true
commons-5370b111e49f__square-1536x1536,commons-5370b111e49f,square-1536x1536,true
commons-57baeffae940__square-1536x1536,commons-57baeffae940,square-1536x1536,true
commons-5835540f49a3__square-1536x1536,commons-5835540f49a3,square-1536x1536,true
commons-5bd2a6c868c7__square-1536x1536,commons-5bd2a6c868c7,square-1536x1536,true
commons-5c4556e18687__square-1536x1536,commons-5c4556e18687,square-1536x1536,true
commons-5f8a143c4ebd__square-1536x1536,commons-5f8a143c4ebd,square-1536x1536,true
commons-5fef8b4e4f56__square-1536x1536,commons-5fef8b4e4f56,square-1536x1536,true
commons-605d53275b3d__square-1536x1536,commons-605d53275b3d,square-1536x1536,true
commons-62bdf16371ea__square-1536x1536,commons-62bdf16371ea,square-1536x1536,true
commons-647bbb5f725f__square-1536x1536,commons-647bbb5f725f,square-1536x1536,true
commons-69989ad97e0c__square-1536x1536,commons-69989ad97e0c,square-1536x1536,true
commons-69ffe67df613__square-1536x1536,commons-69ffe67df613,square-1536x1536,true
commons-6a7040786286__square-1536x1536,commons-6a7040786286,square-1536x1536,true
commons-6aa593dd9893__square-1536x1536,commons-6aa593dd9893,square-1536x1536,true
commons-6ab21a11ebb8__square-1536x1536,commons-6ab21a11ebb8,square-1536x1536,true
commons-6cf985f58a4b__square-1536x1536,commons-6cf985f58a4b,square-1536x1536,true
commons-6eff8f572f00__square-1536x1536,commons-6eff8f572f00,square-1536x1536,true
commons-6fe14feca25d__square-1536x1536,commons-6fe14feca25d,square-1536x1536,true
commons-7167c064c9e0__square-1536x1536,commons-7167c064c9e0,square-1536x1536,true
commons-73e78de19765__square-1536x1536,commons-73e78de19765,square-1536x1536,true
commons-760051ee30d1__square-1536x1536,commons-760051ee30d1,square-1536x1536,true
commons-77d37116a226__square-1536x1536,commons-77d37116a226,square-1536x1536,true
commons-7936f4560f6a__square-1536x1536,commons-7936f4560f6a,square-1536x1536,true
commons-797e4699b2ad__square-1536x1536,commons-797e4699b2ad,square-1536x1536,true
commons-7b82c5685bfe__square-1536x1536,commons-7b82c5685bfe,square-1536x1536,true
commons-7d0c597661b0__square-1536x1536,commons-7d0c597661b0,square-1536x1536,true
commons-7ebe370a8265__square-1536x1536,commons-7ebe370a8265,square-1536x1536,true
commons-8065bfad089b__square-1536x1536,commons-8065bfad089b,square-1536x1536,true
commons-8167d0ab8edc__square-1536x1536,commons-8167d0ab8edc,square-1536x1536,true
commons-820ff9b73ba3__square-1536x1536,commons-820ff9b73ba3,square-1536x1536,true
commons-8541f4448146__square-1536x1536,commons-8541f4448146,square-1536x1536,true
commons-8908636d6e92__square-1536x1536,commons-8908636d6e92,square-1536x1536,true
commons-893481e020d4__square-1536x1536,commons-893481e020d4,square-1536x1536,true
commons-8b38d62439f8__square-1536x1536,commons-8b38d62439f8,square-1536x1536,true
commons-8d61abbb73b7__square-1536x1536,commons-8d61abbb73b7,square-1536x1536,true
commons-932a27645edf__square-1536x1536,commons-932a27645edf,square-1536x1536,true
commons-93e8ddffcd64__square-1536x1536,commons-93e8ddffcd64,square-1536x1536,true
commons-949454c78cd7__square-1536x1536,commons-949454c78cd7,square-1536x1536,true
commons-94a70073985c__square-1536x1536,commons-94a70073985c,square-1536x1536,true
commons-965324d7d935__square-1536x1536,commons-965324d7d935,square-1536x1536,true
commons-98c7be199529__square-1536x1536,commons-98c7be199529,square-1536x1536,true
commons-9bf0470410f9__square-1536x1536,commons-9bf0470410f9,square-1536x1536,true
