task_id,source_id,split,scene_category,difficulty_tier,official_source,source_url,license,license_evidence_url,author,attribution,materialized_sha256,public_release_eligible,original_api_egress_allowed,aigc30_api_egress_allowed,egress_authorization,license_review_status,content_safety_status,personality_rights_status,trademark_status,qwen4_route_action
commons-17fab55d06c5__square-1024x1024,commons-17fab55d06c5,pilot60,chinese_dense_poster,aspect_hard_1,https://commons.wikimedia.org/wiki/File:193510-09%E4%B8%8A%E6%B5%B7%E9%87%91%E5%9F%8E%E6%88%B2%E9%99%A2%E4%B8%8A%E6%98%A0%E5%BB%A3%E5%91%8A.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/193510-09%E4%B8%8A%E6%B5%B7%E9%87%91%E5%9F%8E%E6%88%B2%E9%99%A2%E4%B8%8A%E6%98%A0%E5%BB%A3%E5%91%8A.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC0,https://commons.wikimedia.org/wiki/File:193510-09%E4%B8%8A%E6%B5%B7%E9%87%91%E5%9F%8E%E6%88%B2%E9%99%A2%E4%B8%8A%E6%98%A0%E5%BB%A3%E5%91%8A.jpg#Licensing,Unknown author Unknown author,Unknown author Unknown author — 193510-09上海金城戲院上映廣告.jpg — CC0 — via Wikimedia Commons,8acbd2e29a942b73739092378b4ee699072b69ad8d12ddacc995734ddf0e069f,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,CALL_EXTERNAL_AIGC
commons-9eeb42c822f0__square-1024x1024,commons-9eeb42c822f0,pilot60,chinese_dense_poster,aspect_extreme,https://commons.wikimedia.org/wiki/File:China_Life_notice_CDN19850329P1.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ce/China_Life_notice_CDN19850329P1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,https://commons.wikimedia.org/wiki/File:China_Life_notice_CDN19850329P1.jpg#Licensing,Solomon203,Solomon203 — China Life notice CDN19850329P1.jpg — Public domain — via Wikimedia Commons,8cac0ba26ee3ae6eb017ac6f07d750232f7a690d689d30ae77be07cddcb20262,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,CALL_EXTERNAL_AIGC
commons-4d536d9f0f2e__square-1024x1024,commons-4d536d9f0f2e,pilot60,chinese_dense_poster,aspect_hard_2,https://commons.wikimedia.org/wiki/File:Circle_in_propaganda.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Circle_in_propaganda.jpg/1280px-Circle_in_propaganda.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Circle_in_propaganda.jpg#Licensing,Midip,Midip — Circle in propaganda.jpg — CC BY-SA 4.0 — via Wikimedia Commons,a54a6a7a849e7e8782cae87cc877ef7c59767420edc503853fe3ed7c38cdeff8,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,USE_BEST_TRADITIONAL
commons-820ff9b73ba3__square-1024x1024,commons-820ff9b73ba3,heldout240,chinese_dense_poster,aspect_hard_1,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(3).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%283%29.jpg/1280px-20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%283%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(3).jpg#Licensing,tenz1225,tenz1225 — 20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (3).jpg — CC BY-SA 2.0 — via Wikimedia Commons,3b058f559053230bdeb0b111dd14804469b1edf6ab18b9d4c6660bee3d42bcbf,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,USE_BEST_TRADITIONAL
commons-760051ee30d1__square-1024x1024,commons-760051ee30d1,heldout240,chinese_dense_poster,aspect_hard_1,https://commons.wikimedia.org/wiki/File:2011-06-05_%E8%87%BA%E5%8C%97%E5%B8%82%E6%94%BF%E5%BA%9C%E5%8B%9E%E5%B7%A5%E5%B1%80%E5%8B%9E%E5%8B%95%E6%AA%A2%E6%9F%A5%E8%99%95_%E7%94%B2%E7%AD%89%E8%87%AA%E4%B8%BB%E7%AE%A1%E7%90%86%E5%B7%A5%E5%9C%B0.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/2011-06-05_%E8%87%BA%E5%8C%97%E5%B8%82%E6%94%BF%E5%BA%9C%E5%8B%9E%E5%B7%A5%E5%B1%80%E5%8B%9E%E5%8B%95%E6%AA%A2%E6%9F%A5%E8%99%95_%E7%94%B2%E7%AD%89%E8%87%AA%E4%B8%BB%E7%AE%A1%E7%90%86%E5%B7%A5%E5%9C%B0.jpg/1280px-2011-06-05_%E8%87%BA%E5%8C%97%E5%B8%82%E6%94%BF%E5%BA%9C%E5%8B%9E%E5%B7%A5%E5%B1%80%E5%8B%9E%E5%8B%95%E6%AA%A2%E6%9F%A5%E8%99%95_%E7%94%B2%E7%AD%89%E8%87%AA%E4%B8%BB%E7%AE%A1%E7%90%86%E5%B7%A5%E5%9C%B0.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,https://commons.wikimedia.org/wiki/File:2011-06-05_%E8%87%BA%E5%8C%97%E5%B8%82%E6%94%BF%E5%BA%9C%E5%8B%9E%E5%B7%A5%E5%B1%80%E5%8B%9E%E5%8B%95%E6%AA%A2%E6%9F%A5%E8%99%95_%E7%94%B2%E7%AD%89%E8%87%AA%E4%B8%BB%E7%AE%A1%E7%90%86%E5%B7%A5%E5%9C%B0.jpg#Licensing,Tianmu peter,Tianmu peter — 2011-06-05 臺北市政府勞工局勞動檢查處 甲等自主管理工地.jpg — Public domain — via Wikimedia Commons,8bd4e2ef74bb6390bf028e62d34ee974767516ed9c13309050bd92f8468cafd0,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,USE_BEST_TRADITIONAL
commons-178defdf06a1__square-1024x1024,commons-178defdf06a1,heldout240,single_product_promo,aspect_hard_2,https://commons.wikimedia.org/wiki/File:A_pictorial_description_of_Broadway_from_The_Mail_and_Express_Advertisement_07.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/A_pictorial_description_of_Broadway_from_The_Mail_and_Express_Advertisement_07.jpg/1280px-A_pictorial_description_of_Broadway_from_The_Mail_and_Express_Advertisement_07.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,https://commons.wikimedia.org/wiki/File:A_pictorial_description_of_Broadway_from_The_Mail_and_Express_Advertisement_07.jpg#Licensing,Unknown author Unknown author,Unknown author Unknown author — A pictorial description of Broadway from The Mail and Express Advertisement 07.jpg — Public domain — via Wikimedia Commons,5720d9f5c0e11a1553443b8374dfe7c55993e2c884b06858a035f3f8b15887e2,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
commons-83854b006fb2__square-1024x1024,commons-83854b006fb2,heldout240,single_product_promo,aspect_extreme,"https://commons.wikimedia.org/wiki/File:Benz_automobile_advertisement,_1898,_from_%C3%9Cber_Land_und_Meer,_vol._79,_no._21.png",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Benz_automobile_advertisement%2C_1898%2C_from_%C3%9Cber_Land_und_Meer%2C_vol._79%2C_no._21.png/1280px-Benz_automobile_advertisement%2C_1898%2C_from_%C3%9Cber_Land_und_Meer%2C_vol._79%2C_no._21.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"https://commons.wikimedia.org/wiki/File:Benz_automobile_advertisement,_1898,_from_%C3%9Cber_Land_und_Meer,_vol._79,_no._21.png#Licensing",Benz & Cie.,"Benz & Cie. — Benz automobile advertisement, 1898, from Über Land und Meer, vol. 79, no. 21.png — Public domain — via Wikimedia Commons",e93e0962661de541629df252ec9979b1c1144488769c0de9ebf13eedcc307a23,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
commons-83c3e3a85ed1__square-1024x1024,commons-83c3e3a85ed1,heldout240,single_product_promo,aspect_extreme,"https://commons.wikimedia.org/wiki/File:Benz_automobile_advertisement,_1898,_from_%C3%9Cber_Land_und_Meer,_vol._80,_no._45.png",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Benz_automobile_advertisement%2C_1898%2C_from_%C3%9Cber_Land_und_Meer%2C_vol._80%2C_no._45.png/1280px-Benz_automobile_advertisement%2C_1898%2C_from_%C3%9Cber_Land_und_Meer%2C_vol._80%2C_no._45.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"https://commons.wikimedia.org/wiki/File:Benz_automobile_advertisement,_1898,_from_%C3%9Cber_Land_und_Meer,_vol._80,_no._45.png#Licensing",Benz & Cie.,"Benz & Cie. — Benz automobile advertisement, 1898, from Über Land und Meer, vol. 80, no. 45.png — Public domain — via Wikimedia Commons",804f1054c53e793fbf74df8b353c42bf0bc959d07c30e70d36fe07cad0e12206,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
commons-e813c9c27412__square-1024x1024,commons-e813c9c27412,heldout240,single_product_promo,aspect_extreme,"https://commons.wikimedia.org/wiki/File:Benz_automobile_advertisement,_1898,_from_%C3%9Cber_Land_und_Meer,_vol._79,_no._15.png",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Benz_automobile_advertisement%2C_1898%2C_from_%C3%9Cber_Land_und_Meer%2C_vol._79%2C_no._15.png/1280px-Benz_automobile_advertisement%2C_1898%2C_from_%C3%9Cber_Land_und_Meer%2C_vol._79%2C_no._15.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"https://commons.wikimedia.org/wiki/File:Benz_automobile_advertisement,_1898,_from_%C3%9Cber_Land_und_Meer,_vol._79,_no._15.png#Licensing",Benz & Cie.,"Benz & Cie. — Benz automobile advertisement, 1898, from Über Land und Meer, vol. 79, no. 15.png — Public domain — via Wikimedia Commons",d6c1bd9bb2cfe8d5308089198b6589ac63725f7bf283599d320f3b1a6b1f0d5c,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
commons-8409bac07d6a__square-1024x1024,commons-8409bac07d6a,heldout240,multi_product_commercial,aspect_extreme,"https://commons.wikimedia.org/wiki/File:Gaden_Tangka_-_Tip_Arsenal_Mint,_1903._Class_E,_Type_O,_(NE,_Dots_between_fishes),_(E,_Dots_at_sides),_(W,_Arms_at_angle,_no_dots_at_ends.)_-_Scott_Semans_04.jpg",https://upload.wikimedia.org/wikipedia/commons/7/7e/Gaden_Tangka_-_Tip_Arsenal_Mint%2C_1903._Class_E%2C_Type_O%2C_%28NE%2C_Dots_between_fishes%29%2C_%28E%2C_Dots_at_sides%29%2C_%28W%2C_Arms_at_angle%2C_no_dots_at_ends.%29_-_Scott_Semans_04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY 3.0,"https://commons.wikimedia.org/wiki/File:Gaden_Tangka_-_Tip_Arsenal_Mint,_1903._Class_E,_Type_O,_(NE,_Dots_between_fishes),_(E,_Dots_at_sides),_(W,_Arms_at_angle,_no_dots_at_ends.)_-_Scott_Semans_04.jpg#Licensing",Scott Semans World Coins (CoinCoin.com),"Scott Semans World Coins (CoinCoin.com) — Gaden Tangka - Tip Arsenal Mint, 1903. Class E, Type O, (NE, Dots between fishes), (E, Dots at sides), (W, Arms at angle, no dots at ends.) - Scott Semans 04.jpg — CC BY 3.0 — via Wikimedia Commons",1872204af30b667ac0d9d7c82756bcc560ab4aa4acdc1ce47c86de13e4312e56,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
