source_id,proposed_scene,upstream_dataset,upstream_id,official_source,source_url,review_url,license_evidence_url,license,license_url,author,attribution,access_date,upstream_revision_timestamp,upstream_hash,original_width,original_height,review_width,review_height,source_aspect,pressure,difficulty_tier,orientation,resolution_eligible,review_sha256,phash,review_local_filename,download_status,discovery_reason
commons-00778dfee421,portrait,wikimedia_commons,File:(Lavaur) Portrait en pied de Clémence Yarz 1893 - Henri Rachou - HsT 200x76.jpg,https://commons.wikimedia.org/wiki/File:(Lavaur)_Portrait_en_pied_de_Cl%C3%A9mence_Yarz_1893_-_Henri_Rachou_-_HsT_200x76.jpg,https://upload.wikimedia.org/wikipedia/commons/0/01/%28Lavaur%29_Portrait_en_pied_de_Cl%C3%A9mence_Yarz_1893_-_Henri_Rachou_-_HsT_200x76.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/%28Lavaur%29_Portrait_en_pied_de_Cl%C3%A9mence_Yarz_1893_-_Henri_Rachou_-_HsT_200x76.jpg/1280px-%28Lavaur%29_Portrait_en_pied_de_Cl%C3%A9mence_Yarz_1893_-_Henri_Rachou_-_HsT_200x76.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:(Lavaur)_Portrait_en_pied_de_Cl%C3%A9mence_Yarz_1893_-_Henri_Rachou_-_HsT_200x76.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:(Lavaur)_Portrait_en_pied_de_Cl%C3%A9mence_Yarz_1893_-_Henri_Rachou_-_HsT_200x76.jpg#Licensing,Didier Descouens,Didier Descouens — (Lavaur) Portrait en pied de Clémence Yarz 1893 - Henri Rachou - HsT 200x76.jpg — Public domain — via Wikimedia Commons,2026-08-12,2022-01-30T08:30:28Z,sha1:777a3c4b178cdf45a606e610211cccd9822a3a5c,2670,7115,1280,3411,0.37525652,2.66484375,aspect_hard_2,portrait,true,28175556be98ebc32c4b90a0ca847d3236e3a63b78c9edf094c85da5e1ae96fd,cb9931276766c696,candidate_review/commons-00778dfee421.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required. Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/%28Lavaur%29_Portrait_en_pied_de_Cl%C3%A9mence_Yarz_1893_-_Henri_Rachou_-_HsT_200x76.jpg/1280px-%28Lavaur%29_Portrait_en_pied_de_Cl%C3%A9mence_Yarz_1893_-_Henri_Rachou_-_HsT_200x76.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
commons-008dfe85f38e,chinese_dense_poster,wikimedia_commons,"File:Shipping in the Pearl River off Honam Island, Canton RMG BHC1786.tiff","https://commons.wikimedia.org/wiki/File:Shipping_in_the_Pearl_River_off_Honam_Island,_Canton_RMG_BHC1786.tiff",https://upload.wikimedia.org/wikipedia/commons/4/43/Shipping_in_the_Pearl_River_off_Honam_Island%2C_Canton_RMG_BHC1786.tiff?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Shipping_in_the_Pearl_River_off_Honam_Island%2C_Canton_RMG_BHC1786.tiff/lossy-page1-1280px-Shipping_in_the_Pearl_River_off_Honam_Island%2C_Canton_RMG_BHC1786.tiff.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Shipping_in_the_Pearl_River_off_Honam_Island,_Canton_RMG_BHC1786.tiff#Licensing",Public domain,"https://commons.wikimedia.org/wiki/File:Shipping_in_the_Pearl_River_off_Honam_Island,_Canton_RMG_BHC1786.tiff#Licensing",anonymous,"anonymous — Shipping in the Pearl River off Honam Island, Canton RMG BHC1786.tiff — Public domain — via Wikimedia Commons",2026-08-12,2017-09-17T08:04:59Z,sha1:220cd004c64fe2fb90cded309161825da65ea0d3,7200,3135,,,2.29665072,2.29665072,aspect_hard_2,landscape,pending_pixel_download,,,candidate_review/commons-008dfe85f38e.bin,failed,Commons held-out high-pressure query; exact pixels and visual scene review required. Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Shipping_in_the_Pearl_River_off_Honam_Island%2C_Canton_RMG_BHC1786.tiff/lossy-page1-1280px-Shipping_in_the_Pearl_River_off_Honam_Island%2C_Canton_RMG_BHC1786.tiff.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
commons-00a0676f6c8c,complex_mixed,wikimedia_commons,File:Green Mountain Campground (36121767066).jpg,https://commons.wikimedia.org/wiki/File:Green_Mountain_Campground_(36121767066).jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Green_Mountain_Campground_%2836121767066%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Green_Mountain_Campground_%2836121767066%29.jpg/1280px-Green_Mountain_Campground_%2836121767066%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Green_Mountain_Campground_(36121767066).jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Green_Mountain_Campground_(36121767066).jpg#Licensing,"Bureau of Land Management Oregon and Washington from Portland, America","Bureau of Land Management Oregon and Washington from Portland, America — Green Mountain Campground (36121767066).jpg — Public domain — via Wikimedia Commons",2026-08-12,2018-05-13T22:05:27Z,sha1:6a532fe2b5ee9f8ffb2b43827718b3b672a98f9a,4873,1894,1280,498,2.57028112,2.57028112,aspect_hard_2,landscape,true,710176bd4adcd1ba354439907d48a492b98c38383853a70383050c422da776b6,f67b40365d0b7bc2,candidate_review/commons-00a0676f6c8c.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-011b5d6ced88,chinese_dense_poster,wikimedia_commons,File:Junaid Ahmed Palak at Antarjal Film Event Bangabandhu International Conference Center 2022-12-12 (PID-0019474).jpg,https://commons.wikimedia.org/wiki/File:Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_(PID-0019474).jpg,https://upload.wikimedia.org/wikipedia/commons/7/71/Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_%28PID-0019474%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_%28PID-0019474%29.jpg/1280px-Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_%28PID-0019474%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_(PID-0019474).jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_(PID-0019474).jpg#Licensing,Press Information Department,Press Information Department — Junaid Ahmed Palak at Antarjal Film Event Bangabandhu International Conference Center 2022-12-12 (PID-0019474).jpg — Public domain — via Wikimedia Commons,2026-08-12,2025-10-17T00:33:50Z,sha1:a93dcbdf6ab104c8c15acba491e8696a07914fa4,2400,1076,1280,574,2.22996516,2.22996516,aspect_hard_2,landscape,true,00cf6b01dcb5577e6a7ee797f773a7c2e2569927820c76da3af10a042f417b49,be869679855282ff,candidate_review/commons-011b5d6ced88.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed.
commons-01354fce7a01,portrait,wikimedia_commons,File:(Lavaur) Portrait d'Adrienne Yarz - Henri Rachou - HsT 101x206.jpg,https://commons.wikimedia.org/wiki/File:(Lavaur)_Portrait_d%27Adrienne_Yarz_-_Henri_Rachou_-_HsT_101x206.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/%28Lavaur%29_Portrait_d%27Adrienne_Yarz_-_Henri_Rachou_-_HsT_101x206.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/%28Lavaur%29_Portrait_d%27Adrienne_Yarz_-_Henri_Rachou_-_HsT_101x206.jpg/1280px-%28Lavaur%29_Portrait_d%27Adrienne_Yarz_-_Henri_Rachou_-_HsT_101x206.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:(Lavaur)_Portrait_d%27Adrienne_Yarz_-_Henri_Rachou_-_HsT_101x206.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:(Lavaur)_Portrait_d%27Adrienne_Yarz_-_Henri_Rachou_-_HsT_101x206.jpg#Licensing,Didier Descouens,Didier Descouens — (Lavaur) Portrait d'Adrienne Yarz - Henri Rachou - HsT 101x206.jpg — Public domain — via Wikimedia Commons,2026-08-12,2022-01-30T09:44:06Z,sha1:03108aac1762e1675cd960f816729ef066a16dfc,3777,7911,1280,2681,0.47743379,2.09453125,aspect_hard_2,portrait,true,9658c7ce997ee957067e58b83da1a98811938be89a8e4dd8962da95904baa34d,b8ce8c5c8331f363,candidate_review/commons-01354fce7a01.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-0192b4c7c75c,multi_person,wikimedia_commons,File:Antwerpen - “Colourful Parade”.jpg,https://commons.wikimedia.org/wiki/File:Antwerpen_-_%E2%80%9CColourful_Parade%E2%80%9D.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Antwerpen_-_%E2%80%9CColourful_Parade%E2%80%9D.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Antwerpen_-_%E2%80%9CColourful_Parade%E2%80%9D.jpg/1280px-Antwerpen_-_%E2%80%9CColourful_Parade%E2%80%9D.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Antwerpen_-_%E2%80%9CColourful_Parade%E2%80%9D.jpg#Licensing,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Fred Romero from Paris, France","Fred Romero from Paris, France — Antwerpen - “Colourful Parade”.jpg — CC BY 2.0 — via Wikimedia Commons",2026-08-12,2019-02-25T23:23:47Z,sha1:232b2a457ce90f9439ffaed66b6d7925afc23ffb,5184,3456,,,,,pending_pixel_download,,pending_pixel_download,,,candidate_review/commons-0192b4c7c75c.bin,not_downloaded,Commons aspect-targeted query; visual scene review required.
commons-01ae548222e5,multi_person,wikimedia_commons,File:2017 Domino Sugar New Years Fireworks.jpg,https://commons.wikimedia.org/wiki/File:2017_Domino_Sugar_New_Years_Fireworks.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/2017_Domino_Sugar_New_Years_Fireworks.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/2017_Domino_Sugar_New_Years_Fireworks.jpg/1280px-2017_Domino_Sugar_New_Years_Fireworks.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:2017_Domino_Sugar_New_Years_Fireworks.jpg#Licensing,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Patrick Gillespie,Patrick Gillespie — 2017 Domino Sugar New Years Fireworks.jpg — CC BY 2.0 — via Wikimedia Commons,2026-08-12,2019-12-18T21:26:27Z,sha1:bbd44cd54264fc13df4bf4361831a1ded04add83,5572,3483,,,,,pending_pixel_download,,pending_pixel_download,,,candidate_review/commons-01ae548222e5.bin,not_downloaded,Commons aspect-targeted query; visual scene review required.
commons-0216e285033a,portrait,wikimedia_commons,File:Sophia of Prussia duchess of Sparta and crown princess of Greece in 1911.jpg,https://commons.wikimedia.org/wiki/File:Sophia_of_Prussia_duchess_of_Sparta_and_crown_princess_of_Greece_in_1911.jpg,https://upload.wikimedia.org/wikipedia/commons/3/32/Sophia_of_Prussia_duchess_of_Sparta_and_crown_princess_of_Greece_in_1911.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/3/32/Sophia_of_Prussia_duchess_of_Sparta_and_crown_princess_of_Greece_in_1911.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Sophia_of_Prussia_duchess_of_Sparta_and_crown_princess_of_Greece_in_1911.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Sophia_of_Prussia_duchess_of_Sparta_and_crown_princess_of_Greece_in_1911.jpg#Licensing,Unknown 1911 Greek photographer,Unknown 1911 Greek photographer — Sophia of Prussia duchess of Sparta and crown princess of Greece in 1911.jpg — Public domain — via Wikimedia Commons,2026-08-12,2020-06-06T21:57:10Z,sha1:3f5c332da2e2bf21513284bfe35f97e526b5f7e3,526,1133,526,1133,0.46425419,2.15399240,aspect_hard_2,portrait,true,853c282893ac9588287e73be56b8527e972e42b139a0aca90c4631d71e316c30,e3c63e211f7a819e,candidate_review/commons-0216e285033a.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-02e220b360d0,complex_mixed,wikimedia_commons,File:Green Mountain Campground (48104450323).jpg,https://commons.wikimedia.org/wiki/File:Green_Mountain_Campground_(48104450323).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/Green_Mountain_Campground_%2848104450323%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Green_Mountain_Campground_%2848104450323%29.jpg/1280px-Green_Mountain_Campground_%2848104450323%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Green_Mountain_Campground_(48104450323).jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Green_Mountain_Campground_(48104450323).jpg#Licensing,BLM Oregon & Washington,BLM Oregon & Washington — Green Mountain Campground (48104450323).jpg — Public domain — via Wikimedia Commons,2026-08-12,2025-02-18T05:35:30Z,sha1:ed91957a14c351a9d367edb4627d40e1d10fbb5d,4032,1960,1280,622,2.05787781,2.05787781,aspect_hard_2,landscape,true,af82ae83cb697e423cc4d6117fab1ea1df09477dc620bbe3a8f17fc32c41ec40,9aa5b23e742ac539,candidate_review/commons-02e220b360d0.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-02e4b31f389e,portrait,wikimedia_commons,"File:Portret van een onbekende vrouw, RP-F-F14388-A.jpg","https://commons.wikimedia.org/wiki/File:Portret_van_een_onbekende_vrouw,_RP-F-F14388-A.jpg",https://upload.wikimedia.org/wikipedia/commons/4/40/Portret_van_een_onbekende_vrouw%2C_RP-F-F14388-A.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Portret_van_een_onbekende_vrouw%2C_RP-F-F14388-A.jpg/1280px-Portret_van_een_onbekende_vrouw%2C_RP-F-F14388-A.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Portret_van_een_onbekende_vrouw,_RP-F-F14388-A.jpg#Licensing",CC0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Rijksmuseum,"Rijksmuseum — Portret van een onbekende vrouw, RP-F-F14388-A.jpg — CC0 — via Wikimedia Commons",2026-08-12,2019-12-12T17:28:25Z,sha1:d3d1027f0eb00d6e9c81e202d501914cb53444e8,4014,2440,1280,778,1.64524422,1.64524422,aspect_hard_1,landscape,true,ec6dcb0e1688b1956adbdd0315e70d7421f68609ea114df80d543d304b48b1f1,eb27b41cc666be46,candidate_review/commons-02e4b31f389e.bin,downloaded,Commons scene search supplement; visual scene review required. Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Portret_van_een_onbekende_vrouw%2C_RP-F-F14388-A.jpg/1280px-Portret_van_een_onbekende_vrouw%2C_RP-F-F14388-A.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
