task_id,source_id,target_id,enabled
commons-059eb0390ab4__square-1024x1024,commons-059eb0390ab4,square-1024x1024,true
commons-060cf824bc31__square-1024x1024,commons-060cf824bc31,square-1024x1024,true
commons-0737b43c3bc0__square-1024x1024,commons-0737b43c3bc0,square-1024x1024,true
commons-0dce6da5024a__square-1024x1024,commons-0dce6da5024a,square-1024x1024,true
commons-0ebe9b03b237__square-1024x1024,commons-0ebe9b03b237,square-1024x1024,true
commons-0fc19abdcf08__square-1024x1024,commons-0fc19abdcf08,square-1024x1024,true
commons-100101862d08__square-1024x1024,commons-100101862d08,square-1024x1024,true
commons-137b888c6f8f__square-1024x1024,commons-137b888c6f8f,square-1024x1024,true
commons-17fab55d06c5__square-1024x1024,commons-17fab55d06c5,square-1024x1024,true
commons-18e5100f5ff8__square-1024x1024,commons-18e5100f5ff8,square-1024x1024,true
commons-1f3ce98efe7c__square-1024x1024,commons-1f3ce98efe7c,square-1024x1024,true
commons-24d1924e861f__square-1024x1024,commons-24d1924e861f,square-1024x1024,true
commons-250da3e21405__square-1024x1024,commons-250da3e21405,square-1024x1024,true
commons-2e9d4d1f99c8__square-1024x1024,commons-2e9d4d1f99c8,square-1024x1024,true
commons-2f3f755b2d48__square-1024x1024,commons-2f3f755b2d48,square-1024x1024,true
commons-2fad2cd9e16b__square-1024x1024,commons-2fad2cd9e16b,square-1024x1024,true
commons-3216896406ba__square-1024x1024,commons-3216896406ba,square-1024x1024,true
commons-3349acd37038__square-1024x1024,commons-3349acd37038,square-1024x1024,true
commons-34efc5c0961b__square-1024x1024,commons-34efc5c0961b,square-1024x1024,true
commons-366e7ba828af__square-1024x1024,commons-366e7ba828af,square-1024x1024,true
commons-38daa7762286__square-1024x1024,commons-38daa7762286,square-1024x1024,true
commons-3dd6cfd7c36b__square-1024x1024,commons-3dd6cfd7c36b,square-1024x1024,true
commons-40d255242614__square-1024x1024,commons-40d255242614,square-1024x1024,true
commons-4347ff882f64__square-1024x1024,commons-4347ff882f64,square-1024x1024,true
commons-44765f4bbe9a__square-1024x1024,commons-44765f4bbe9a,square-1024x1024,true
commons-48008889c8fa__square-1024x1024,commons-48008889c8fa,square-1024x1024,true
commons-48a6f31dbbef__square-1024x1024,commons-48a6f31dbbef,square-1024x1024,true
commons-493ed5423e48__square-1024x1024,commons-493ed5423e48,square-1024x1024,true
commons-4d228f39424f__square-1024x1024,commons-4d228f39424f,square-1024x1024,true
commons-4d536d9f0f2e__square-1024x1024,commons-4d536d9f0f2e,square-1024x1024,true
commons-52cbc0eac6ae__square-1024x1024,commons-52cbc0eac6ae,square-1024x1024,true
commons-53a6c8699582__square-1024x1024,commons-53a6c8699582,square-1024x1024,true
commons-5bd2a6c868c7__square-1024x1024,commons-5bd2a6c868c7,square-1024x1024,true
commons-60bd054c9b05__square-1024x1024,commons-60bd054c9b05,square-1024x1024,true
commons-628e5dad5140__square-1024x1024,commons-628e5dad5140,square-1024x1024,true
commons-7236651943ec__square-1024x1024,commons-7236651943ec,square-1024x1024,true
commons-76336ac577c5__square-1024x1024,commons-76336ac577c5,square-1024x1024,true
commons-7936f4560f6a__square-1024x1024,commons-7936f4560f6a,square-1024x1024,true
commons-7b24a778b5d8__square-1024x1024,commons-7b24a778b5d8,square-1024x1024,true
commons-8b9c974d7946__square-1024x1024,commons-8b9c974d7946,square-1024x1024,true
commons-9091eead3eeb__square-1024x1024,commons-9091eead3eeb,square-1024x1024,true
commons-9762fcc385d9__square-1024x1024,commons-9762fcc385d9,square-1024x1024,true
commons-9eeb42c822f0__square-1024x1024,commons-9eeb42c822f0,square-1024x1024,true
commons-a7fba6bf9954__square-1024x1024,commons-a7fba6bf9954,square-1024x1024,true
commons-af66757a9dfe__square-1024x1024,commons-af66757a9dfe,square-1024x1024,true
commons-af7ad10e9f0b__square-1024x1024,commons-af7ad10e9f0b,square-1024x1024,true
commons-b25ca43efcf4__square-1024x1024,commons-b25ca43efcf4,square-1024x1024,true
commons-b4c97f5573e7__square-1024x1024,commons-b4c97f5573e7,square-1024x1024,true
commons-ce49cdad548c__square-1024x1024,commons-ce49cdad548c,square-1024x1024,true
commons-d5f40d7cf825__square-1024x1024,commons-d5f40d7cf825,square-1024x1024,true
commons-daab2d475e08__square-1024x1024,commons-daab2d475e08,square-1024x1024,true
commons-e04c40323e2b__square-1024x1024,commons-e04c40323e2b,square-1024x1024,true
commons-e6f81b5d23a9__square-1024x1024,commons-e6f81b5d23a9,square-1024x1024,true
oi-08f5c5a0622db3aa__square-1024x1024,oi-08f5c5a0622db3aa,square-1024x1024,true
oi-09a786d569d8a554__square-1024x1024,oi-09a786d569d8a554,square-1024x1024,true
oi-0c9c9ebe5c9aff0b__square-1024x1024,oi-0c9c9ebe5c9aff0b,square-1024x1024,true
oi-0e2d31f8b59f5f51__square-1024x1024,oi-0e2d31f8b59f5f51,square-1024x1024,true
oi-0e88bd648d73e546__square-1024x1024,oi-0e88bd648d73e546,square-1024x1024,true
oi-0ee1bc2b29a03686__square-1024x1024,oi-0ee1bc2b29a03686,square-1024x1024,true
oi-10bcbd59753ff556__square-1024x1024,oi-10bcbd59753ff556,square-1024x1024,true
commons-011b5d6ced88__square-1024x1024,commons-011b5d6ced88,square-1024x1024,true
commons-0216e285033a__square-1024x1024,commons-0216e285033a,square-1024x1024,true
commons-0339fc90b919__square-1024x1024,commons-0339fc90b919,square-1024x1024,true
commons-038ceca3c5ba__square-1024x1024,commons-038ceca3c5ba,square-1024x1024,true
commons-064be9ac7fd6__square-1024x1024,commons-064be9ac7fd6,square-1024x1024,true
commons-071ecf9ff286__square-1024x1024,commons-071ecf9ff286,square-1024x1024,true
commons-08626caa35fe__square-1024x1024,commons-08626caa35fe,square-1024x1024,true
commons-08663052f2c9__square-1024x1024,commons-08663052f2c9,square-1024x1024,true
commons-099ba81ed475__square-1024x1024,commons-099ba81ed475,square-1024x1024,true
commons-0b342c894c85__square-1024x1024,commons-0b342c894c85,square-1024x1024,true
commons-0bc6922d84c1__square-1024x1024,commons-0bc6922d84c1,square-1024x1024,true
commons-0bea2581d1bc__square-1024x1024,commons-0bea2581d1bc,square-1024x1024,true
commons-0dd1d5e0988f__square-1024x1024,commons-0dd1d5e0988f,square-1024x1024,true
commons-0e61f4a430fc__square-1024x1024,commons-0e61f4a430fc,square-1024x1024,true
commons-0f01473d1ef5__square-1024x1024,commons-0f01473d1ef5,square-1024x1024,true
commons-1076fb7ebe26__square-1024x1024,commons-1076fb7ebe26,square-1024x1024,true
commons-1296f31d179c__square-1024x1024,commons-1296f31d179c,square-1024x1024,true
commons-12e03c08dada__square-1024x1024,commons-12e03c08dada,square-1024x1024,true
commons-13481c146cfa__square-1024x1024,commons-13481c146cfa,square-1024x1024,true
commons-141a6e42dd1a__square-1024x1024,commons-141a6e42dd1a,square-1024x1024,true
commons-14996157eb69__square-1024x1024,commons-14996157eb69,square-1024x1024,true
commons-17202c5cd4a3__square-1024x1024,commons-17202c5cd4a3,square-1024x1024,true
commons-178defdf06a1__square-1024x1024,commons-178defdf06a1,square-1024x1024,true
commons-189b9dd8898d__square-1024x1024,commons-189b9dd8898d,square-1024x1024,true
commons-18d58fe71bbc__square-1024x1024,commons-18d58fe71bbc,square-1024x1024,true
commons-1a16e5b1d0ba__square-1024x1024,commons-1a16e5b1d0ba,square-1024x1024,true
commons-1a9335df2c92__square-1024x1024,commons-1a9335df2c92,square-1024x1024,true
commons-1c0b37e99d92__square-1024x1024,commons-1c0b37e99d92,square-1024x1024,true
commons-1c126d35df29__square-1024x1024,commons-1c126d35df29,square-1024x1024,true
commons-1cbb33ba37d5__square-1024x1024,commons-1cbb33ba37d5,square-1024x1024,true
commons-1d005fc2b1a7__square-1024x1024,commons-1d005fc2b1a7,square-1024x1024,true
commons-1fe0da7c0b87__square-1024x1024,commons-1fe0da7c0b87,square-1024x1024,true
commons-2075b21daae7__square-1024x1024,commons-2075b21daae7,square-1024x1024,true
commons-217b03119a33__square-1024x1024,commons-217b03119a33,square-1024x1024,true
commons-2314bc383c45__square-1024x1024,commons-2314bc383c45,square-1024x1024,true
commons-233cdd06d1f6__square-1024x1024,commons-233cdd06d1f6,square-1024x1024,true
commons-23b36249f3e0__square-1024x1024,commons-23b36249f3e0,square-1024x1024,true
commons-2447d5f55631__square-1024x1024,commons-2447d5f55631,square-1024x1024,true
commons-289f52b3b117__square-1024x1024,commons-289f52b3b117,square-1024x1024,true
commons-2c7bc5de267b__square-1024x1024,commons-2c7bc5de267b,square-1024x1024,true
commons-2dedc4be304f__square-1024x1024,commons-2dedc4be304f,square-1024x1024,true
commons-2f03594080ec__square-1024x1024,commons-2f03594080ec,square-1024x1024,true
commons-2f6b55ead6eb__square-1024x1024,commons-2f6b55ead6eb,square-1024x1024,true
commons-2f906216c727__square-1024x1024,commons-2f906216c727,square-1024x1024,true
commons-3062c1d07622__square-1024x1024,commons-3062c1d07622,square-1024x1024,true
commons-326b053e2119__square-1024x1024,commons-326b053e2119,square-1024x1024,true
commons-32e787fb985f__square-1024x1024,commons-32e787fb985f,square-1024x1024,true
commons-32f56b53027e__square-1024x1024,commons-32f56b53027e,square-1024x1024,true
commons-331edda65616__square-1024x1024,commons-331edda65616,square-1024x1024,true
commons-35a2ab968e9a__square-1024x1024,commons-35a2ab968e9a,square-1024x1024,true
commons-36ebdf2b31a2__square-1024x1024,commons-36ebdf2b31a2,square-1024x1024,true
commons-383a01620817__square-1024x1024,commons-383a01620817,square-1024x1024,true
commons-3bfe420846da__square-1024x1024,commons-3bfe420846da,square-1024x1024,true
commons-3d9edb40a893__square-1024x1024,commons-3d9edb40a893,square-1024x1024,true
commons-3dbdf1f5c742__square-1024x1024,commons-3dbdf1f5c742,square-1024x1024,true
commons-3e93a36813f4__square-1024x1024,commons-3e93a36813f4,square-1024x1024,true
commons-3fe3f29d6ba3__square-1024x1024,commons-3fe3f29d6ba3,square-1024x1024,true
commons-4120c53134c1__square-1024x1024,commons-4120c53134c1,square-1024x1024,true
commons-41aecd3a8a4a__square-1024x1024,commons-41aecd3a8a4a,square-1024x1024,true
commons-41da0a41ce89__square-1024x1024,commons-41da0a41ce89,square-1024x1024,true
commons-42a4890f71c0__square-1024x1024,commons-42a4890f71c0,square-1024x1024,true
commons-431aee99b49c__square-1024x1024,commons-431aee99b49c,square-1024x1024,true
commons-45a5f2a211dc__square-1024x1024,commons-45a5f2a211dc,square-1024x1024,true
commons-4886385fc44b__square-1024x1024,commons-4886385fc44b,square-1024x1024,true
commons-489e2f291392__square-1024x1024,commons-489e2f291392,square-1024x1024,true
commons-4b2a679cbff6__square-1024x1024,commons-4b2a679cbff6,square-1024x1024,true
commons-4b48a5e945fb__square-1024x1024,commons-4b48a5e945fb,square-1024x1024,true
commons-4cc71050f76d__square-1024x1024,commons-4cc71050f76d,square-1024x1024,true
commons-4d8dee352567__square-1024x1024,commons-4d8dee352567,square-1024x1024,true
commons-50ec88d81b7b__square-1024x1024,commons-50ec88d81b7b,square-1024x1024,true
commons-50f10beadb5f__square-1024x1024,commons-50f10beadb5f,square-1024x1024,true
commons-51cd78f1e391__square-1024x1024,commons-51cd78f1e391,square-1024x1024,true
commons-521215a19f9b__square-1024x1024,commons-521215a19f9b,square-1024x1024,true
commons-52310bfe7ab5__square-1024x1024,commons-52310bfe7ab5,square-1024x1024,true
