source_id,proposed_scene,upstream_dataset,upstream_id,official_source,source_url,review_url,license_evidence_url,license,license_url,author,attribution,access_date,upstream_revision_timestamp,upstream_hash,original_width,original_height,review_width,review_height,source_aspect,pressure,difficulty_tier,orientation,resolution_eligible,review_sha256,phash,review_local_filename,download_status,discovery_reason
commons-0b3209f19365,chinese_dense_poster,wikimedia_commons,File:Toshiyuki - Kozuka with a Chinese Man - Walters 51722.jpg,https://commons.wikimedia.org/wiki/File:Toshiyuki_-_Kozuka_with_a_Chinese_Man_-_Walters_51722.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Toshiyuki_-_Kozuka_with_a_Chinese_Man_-_Walters_51722.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/c/ca/Toshiyuki_-_Kozuka_with_a_Chinese_Man_-_Walters_51722.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Toshiyuki_-_Kozuka_with_a_Chinese_Man_-_Walters_51722.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Toshiyuki_-_Kozuka_with_a_Chinese_Man_-_Walters_51722.jpg#Licensing,Toshiyuki,Toshiyuki — Toshiyuki - Kozuka with a Chinese Man - Walters 51722.jpg — Public domain — via Wikimedia Commons,2026-08-12,2012-03-24T09:02:05Z,sha1:ca04bb2861728e2bc244b7e0010ae77238069e8b,481,1798,481,1798,0.26751947,3.73804574,aspect_extreme,portrait,true,04467505d230b2ab9fa71604197760236d9c2decad5da5b509aad813b1d0cd45,e16b96319e349e91,candidate_review/commons-0b3209f19365.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-33e08b8ef62a,chinese_dense_poster,wikimedia_commons,File:Buliantu.jpg,https://commons.wikimedia.org/wiki/File:Buliantu.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e2/Buliantu.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Buliantu.jpg/1280px-Buliantu.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Buliantu.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Buliantu.jpg#Licensing,Yan Liben,Yan Liben — Buliantu.jpg — Public domain — via Wikimedia Commons,2026-08-12,2011-03-22T07:39:12Z,sha1:b0ee71fab1e7b352182549a0021c108d6b3ddf2f,3053,853,1280,358,3.57541899,3.57541899,aspect_extreme,landscape,true,8ace45052ac0e1d5c7298ca8b86779cf99e08d3c3950c72f9cb440bb4534808a,feca956cb76c81ac,candidate_review/commons-33e08b8ef62a.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-358270a37ff3,chinese_dense_poster,wikimedia_commons,File:Iwamoto Sadanaka - Kozuka with Shoko Reading a Book by Moonlight - Walters 51721 - Back.jpg,https://commons.wikimedia.org/wiki/File:Iwamoto_Sadanaka_-_Kozuka_with_Shoko_Reading_a_Book_by_Moonlight_-_Walters_51721_-_Back.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Iwamoto_Sadanaka_-_Kozuka_with_Shoko_Reading_a_Book_by_Moonlight_-_Walters_51721_-_Back.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Iwamoto_Sadanaka_-_Kozuka_with_Shoko_Reading_a_Book_by_Moonlight_-_Walters_51721_-_Back.jpg/1280px-Iwamoto_Sadanaka_-_Kozuka_with_Shoko_Reading_a_Book_by_Moonlight_-_Walters_51721_-_Back.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Iwamoto_Sadanaka_-_Kozuka_with_Shoko_Reading_a_Book_by_Moonlight_-_Walters_51721_-_Back.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Iwamoto_Sadanaka_-_Kozuka_with_Shoko_Reading_a_Book_by_Moonlight_-_Walters_51721_-_Back.jpg#Licensing,Iwamoto Sadanaka,Iwamoto Sadanaka — Iwamoto Sadanaka - Kozuka with Shoko Reading a Book by Moonlight - Walters 51721 - Back.jpg — Public domain — via Wikimedia Commons,2026-08-12,2012-03-24T09:01:19Z,sha1:1d9f34e8f47f0cbc6da6bcc5550368120d42c838,1800,511,1280,363,3.52617080,3.52617080,aspect_extreme,landscape,true,8e0ad33ebb9d3178e54b3e17ce482b9baab1d4a57da005f43902b99dc3d791bc,ea6a95957ac02f6a,candidate_review/commons-358270a37ff3.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-397a7af0d763,chinese_dense_poster,wikimedia_commons,File:Yokoya Somin - Kozuka with Chinese Lion - Walters 51799 - Back.jpg,https://commons.wikimedia.org/wiki/File:Yokoya_Somin_-_Kozuka_with_Chinese_Lion_-_Walters_51799_-_Back.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Yokoya_Somin_-_Kozuka_with_Chinese_Lion_-_Walters_51799_-_Back.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/c/c5/Yokoya_Somin_-_Kozuka_with_Chinese_Lion_-_Walters_51799_-_Back.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Yokoya_Somin_-_Kozuka_with_Chinese_Lion_-_Walters_51799_-_Back.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Yokoya_Somin_-_Kozuka_with_Chinese_Lion_-_Walters_51799_-_Back.jpg#Licensing,Yokoya Somin,Yokoya Somin — Yokoya Somin - Kozuka with Chinese Lion - Walters 51799 - Back.jpg — Public domain — via Wikimedia Commons,2026-08-12,2012-03-24T09:51:29Z,sha1:c6a18d0a96960510c4ec195010a5809f538804e7,493,1797,493,1797,0.27434613,3.64503043,aspect_extreme,portrait,true,68e1c74f0af96a3770992ffa1cb8fd3211f7696ad5529c7db2edfb336300f65a,e1319ec69a8c9e8b,candidate_review/commons-397a7af0d763.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-94832ce9dc9c,chinese_dense_poster,wikimedia_commons,File:International Women's Day (12784978055).jpg,https://commons.wikimedia.org/wiki/File:International_Women%27s_Day_(12784978055).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/International_Women%27s_Day_%2812784978055%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/International_Women%27s_Day_%2812784978055%29.jpg/1280px-International_Women%27s_Day_%2812784978055%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:International_Women%27s_Day_(12784978055).jpg#Licensing,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Archives New Zealand from New Zealand,Archives New Zealand from New Zealand — International Women's Day (12784978055).jpg — CC BY-SA 2.0 — via Wikimedia Commons,2026-08-12,2016-02-18T10:44:54Z,sha1:9e31eaf610014296ddd1cf449c903585154050fa,10771,2900,1280,345,3.71014493,3.71014493,aspect_extreme,landscape,true,54409410be91a02f70ddd6b01404ee6d483cd5d468271cfafedd1904d9aea4e0,da2ba530e54ad9d5,candidate_review/commons-94832ce9dc9c.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed. Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/International_Women%27s_Day_%2812784978055%29.jpg/1280px-International_Women%27s_Day_%2812784978055%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/International_Women%27s_Day_%2812784978055%29.jpg/1280px-International_Women%27s_Day_%2812784978055%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
commons-9fcc6c022d8e,chinese_dense_poster,wikimedia_commons,File:Glorifications of the Prophetic Traditions WDL2995.jpg,https://commons.wikimedia.org/wiki/File:Glorifications_of_the_Prophetic_Traditions_WDL2995.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0b/Glorifications_of_the_Prophetic_Traditions_WDL2995.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/0/0b/Glorifications_of_the_Prophetic_Traditions_WDL2995.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Glorifications_of_the_Prophetic_Traditions_WDL2995.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Glorifications_of_the_Prophetic_Traditions_WDL2995.jpg#Licensing,Abu Muhammad al-Husajn bin Mas'ud al-Farra' Baghawi (1043-1122),Abu Muhammad al-Husajn bin Mas'ud al-Farra' Baghawi (1043-1122) — Glorifications of the Prophetic Traditions WDL2995.jpg — Public domain — via Wikimedia Commons,2026-08-12,2014-03-13T10:41:35Z,sha1:8a270ee0a17b41d42c848b13abaeba487b87c94b,988,3414,988,3414,0.28939660,3.45546559,aspect_extreme,portrait,true,f33b0918982849d3019200655ff0059b61b4bf73a6c9c1090338e4e8dc53ffdf,d2788f293c873c93,candidate_review/commons-9fcc6c022d8e.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-b24782618c01,chinese_dense_poster,wikimedia_commons,File:Hamano Naoyuki - Kozuka with Kanyu on a Horse - Walters 51635.jpg,https://commons.wikimedia.org/wiki/File:Hamano_Naoyuki_-_Kozuka_with_Kanyu_on_a_Horse_-_Walters_51635.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Hamano_Naoyuki_-_Kozuka_with_Kanyu_on_a_Horse_-_Walters_51635.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/9/9f/Hamano_Naoyuki_-_Kozuka_with_Kanyu_on_a_Horse_-_Walters_51635.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Hamano_Naoyuki_-_Kozuka_with_Kanyu_on_a_Horse_-_Walters_51635.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Hamano_Naoyuki_-_Kozuka_with_Kanyu_on_a_Horse_-_Walters_51635.jpg#Licensing,Hamano Naoyuki,Hamano Naoyuki — Hamano Naoyuki - Kozuka with Kanyu on a Horse - Walters 51635.jpg — Public domain — via Wikimedia Commons,2026-08-12,2012-03-24T07:15:50Z,sha1:73bf68bb723ae262f4177b85819e3c23a9f1c916,524,1797,524,1797,0.29159711,3.42938931,aspect_extreme,portrait,true,fd190cd1805c42d918b59c913e35d47d6ae61ec7d0ac75d03d32789055a3791d,b434cb36cb30cbc5,candidate_review/commons-b24782618c01.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-b7066cbfcb07,chinese_dense_poster,wikimedia_commons,File:梧州市市区高速公路景色 - panoramio.jpg,https://commons.wikimedia.org/wiki/File:%E6%A2%A7%E5%B7%9E%E5%B8%82%E5%B8%82%E5%8C%BA%E9%AB%98%E9%80%9F%E5%85%AC%E8%B7%AF%E6%99%AF%E8%89%B2_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/%E6%A2%A7%E5%B7%9E%E5%B8%82%E5%B8%82%E5%8C%BA%E9%AB%98%E9%80%9F%E5%85%AC%E8%B7%AF%E6%99%AF%E8%89%B2_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/%E6%A2%A7%E5%B7%9E%E5%B8%82%E5%B8%82%E5%8C%BA%E9%AB%98%E9%80%9F%E5%85%AC%E8%B7%AF%E6%99%AF%E8%89%B2_-_panoramio.jpg/1280px-%E6%A2%A7%E5%B7%9E%E5%B8%82%E5%B8%82%E5%8C%BA%E9%AB%98%E9%80%9F%E5%85%AC%E8%B7%AF%E6%99%AF%E8%89%B2_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:%E6%A2%A7%E5%B7%9E%E5%B8%82%E5%B8%82%E5%8C%BA%E9%AB%98%E9%80%9F%E5%85%AC%E8%B7%AF%E6%99%AF%E8%89%B2_-_panoramio.jpg#Licensing,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,luchangjiang~鲁昌江,luchangjiang~鲁昌江 — 梧州市市区高速公路景色 - panoramio.jpg — CC BY-SA 3.0 — via Wikimedia Commons,2026-08-12,2016-12-10T00:17:55Z,sha1:3f846bd9592631f55423d3e3792347ca0de8817e,3264,1070,1280,420,3.04761905,3.04761905,aspect_extreme,landscape,true,526987c7874bcb8f9889aee6339a726e2ce7f60b259df409d39f2cd3395ad53e,d0e0ae3ac5794d94,candidate_review/commons-b7066cbfcb07.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-cf3c2ff6c835,chinese_dense_poster,wikimedia_commons,File:自行車路線指示標誌指0.4.png,https://commons.wikimedia.org/wiki/File:%E8%87%AA%E8%A1%8C%E8%BB%8A%E8%B7%AF%E7%B7%9A%E6%8C%87%E7%A4%BA%E6%A8%99%E8%AA%8C%E6%8C%870.4.png,https://upload.wikimedia.org/wikipedia/commons/7/71/%E8%87%AA%E8%A1%8C%E8%BB%8A%E8%B7%AF%E7%B7%9A%E6%8C%87%E7%A4%BA%E6%A8%99%E8%AA%8C%E6%8C%870.4.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/7/71/%E8%87%AA%E8%A1%8C%E8%BB%8A%E8%B7%AF%E7%B7%9A%E6%8C%87%E7%A4%BA%E6%A8%99%E8%AA%8C%E6%8C%870.4.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:%E8%87%AA%E8%A1%8C%E8%BB%8A%E8%B7%AF%E7%B7%9A%E6%8C%87%E7%A4%BA%E6%A8%99%E8%AA%8C%E6%8C%870.4.png#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:%E8%87%AA%E8%A1%8C%E8%BB%8A%E8%B7%AF%E7%B7%9A%E6%8C%87%E7%A4%BA%E6%A8%99%E8%AA%8C%E6%8C%870.4.png#Licensing,中華民國交通部,中華民國交通部 — 自行車路線指示標誌指0.4.png — Public domain — via Wikimedia Commons,2026-08-12,2025-03-30T12:52:16Z,sha1:0eeb4934427ecd0a36498d67e1ad0fbbe943c458,550,2200,550,2200,0.25000000,4.00000000,aspect_extreme,portrait,true,02157df9198d69f9cf7b55c2855eb76a58fbe793cbee120d149d23d26d2dc9c4,9bda87dac7e45824,candidate_review/commons-cf3c2ff6c835.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
commons-d19b8a4d6d64,chinese_dense_poster,wikimedia_commons,File:Shôbayashi Takeaki - Kozuka with Kannon Sitting on a Rock - Walters 51803 - Back.jpg,https://commons.wikimedia.org/wiki/File:Sh%C3%B4bayashi_Takeaki_-_Kozuka_with_Kannon_Sitting_on_a_Rock_-_Walters_51803_-_Back.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Sh%C3%B4bayashi_Takeaki_-_Kozuka_with_Kannon_Sitting_on_a_Rock_-_Walters_51803_-_Back.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/a/a4/Sh%C3%B4bayashi_Takeaki_-_Kozuka_with_Kannon_Sitting_on_a_Rock_-_Walters_51803_-_Back.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Sh%C3%B4bayashi_Takeaki_-_Kozuka_with_Kannon_Sitting_on_a_Rock_-_Walters_51803_-_Back.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Sh%C3%B4bayashi_Takeaki_-_Kozuka_with_Kannon_Sitting_on_a_Rock_-_Walters_51803_-_Back.jpg#Licensing,Shôbayashi Takeaki,Shôbayashi Takeaki — Shôbayashi Takeaki - Kozuka with Kannon Sitting on a Rock - Walters 51803 - Back.jpg — Public domain — via Wikimedia Commons,2026-08-12,2012-03-24T09:52:51Z,sha1:afbacf5ba3b8bddf27495eda3a74fa6fb45e1e27,488,1800,488,1800,0.27111111,3.68852459,aspect_extreme,portrait,true,e4a28db64051a160d5c593dc40c3c8491147191cacfb2bb68d9a72ba0eddf59e,e1349e699e829ec6,candidate_review/commons-d19b8a4d6d64.bin,downloaded,Commons held-out high-pressure query; exact pixels and visual scene review required.
