source_id,proposed_scene,upstream_dataset,upstream_id,official_source,source_url,review_url,license_evidence_url,license,license_url,author,attribution,access_date,upstream_revision_timestamp,upstream_hash,original_width,original_height,review_width,review_height,source_aspect,pressure,difficulty_tier,orientation,resolution_eligible,review_sha256,phash,review_local_filename,download_status,discovery_reason
commons-011b5d6ced88,chinese_dense_poster,wikimedia_commons,File:Junaid Ahmed Palak at Antarjal Film Event Bangabandhu International Conference Center 2022-12-12 (PID-0019474).jpg,https://commons.wikimedia.org/wiki/File:Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_(PID-0019474).jpg,https://upload.wikimedia.org/wikipedia/commons/7/71/Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_%28PID-0019474%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_%28PID-0019474%29.jpg/1280px-Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_%28PID-0019474%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_(PID-0019474).jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Junaid_Ahmed_Palak_at_Antarjal_Film_Event_Bangabandhu_International_Conference_Center_2022-12-12_(PID-0019474).jpg#Licensing,Press Information Department,Press Information Department — Junaid Ahmed Palak at Antarjal Film Event Bangabandhu International Conference Center 2022-12-12 (PID-0019474).jpg — Public domain — via Wikimedia Commons,2026-08-12,2025-10-17T00:33:50Z,sha1:a93dcbdf6ab104c8c15acba491e8696a07914fa4,2400,1076,1280,574,2.22996516,2.22996516,aspect_hard_2,landscape,true,00cf6b01dcb5577e6a7ee797f773a7c2e2569927820c76da3af10a042f417b49,be869679855282ff,candidate_review/commons-011b5d6ced88.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed.
commons-064be9ac7fd6,chinese_dense_poster,wikimedia_commons,File:China seas.jpg,https://commons.wikimedia.org/wiki/File:China_seas.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/China_seas.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/China_seas.jpg/1280px-China_seas.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:China_seas.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:China_seas.jpg#Licensing,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer — China seas.jpg — Public domain — via Wikimedia Commons,2026-08-12,2015-02-07T17:49:27Z,sha1:e5ef6c1044c6c2e59a04d6f133cf4310144a8dd5,1500,705,1280,602,2.12624585,2.12624585,aspect_hard_2,landscape,true,e4f31d2311b665a754a92176dee8d1cfab37320652b7699d9fc4216b97714402,ceb6946f9199d1c8,candidate_review/commons-064be9ac7fd6.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed.
commons-07b0ba4277f2,chinese_dense_poster,wikimedia_commons,File:Hong Kong 04279.JPG,https://commons.wikimedia.org/wiki/File:Hong_Kong_04279.JPG,https://upload.wikimedia.org/wikipedia/commons/f/f6/Hong_Kong_04279.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Hong_Kong_04279.JPG/1280px-Hong_Kong_04279.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Hong_Kong_04279.JPG#Licensing,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Sebastian Wallroth,Sebastian Wallroth — Hong Kong 04279.JPG — CC BY 3.0 — via Wikimedia Commons,2026-08-12,2013-08-13T16:48:40Z,sha1:d663776d737f447db8e7df9437ae13a11f0e0e7a,4912,3264,1280,851,1.50411281,1.50411281,aspect_hard_1,landscape,true,138f7cd4554a986ec083550696e0a0dd83f8ad1c6fb4ed6d18c47214f0a28dee,d5b8ee57305c6398,candidate_review/commons-07b0ba4277f2.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed.
commons-08663052f2c9,chinese_dense_poster,wikimedia_commons,File:HK Sai Ying Pun 德輔道西 Des Voeux Road West Ramada Hotel seafood China restaurant display posters Jan-2015 LG2.jpg,https://commons.wikimedia.org/wiki/File:HK_Sai_Ying_Pun_%E5%BE%B7%E8%BC%94%E9%81%93%E8%A5%BF_Des_Voeux_Road_West_Ramada_Hotel_seafood_China_restaurant_display_posters_Jan-2015_LG2.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/HK_Sai_Ying_Pun_%E5%BE%B7%E8%BC%94%E9%81%93%E8%A5%BF_Des_Voeux_Road_West_Ramada_Hotel_seafood_China_restaurant_display_posters_Jan-2015_LG2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HK_Sai_Ying_Pun_%E5%BE%B7%E8%BC%94%E9%81%93%E8%A5%BF_Des_Voeux_Road_West_Ramada_Hotel_seafood_China_restaurant_display_posters_Jan-2015_LG2.jpg/1280px-HK_Sai_Ying_Pun_%E5%BE%B7%E8%BC%94%E9%81%93%E8%A5%BF_Des_Voeux_Road_West_Ramada_Hotel_seafood_China_restaurant_display_posters_Jan-2015_LG2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:HK_Sai_Ying_Pun_%E5%BE%B7%E8%BC%94%E9%81%93%E8%A5%BF_Des_Voeux_Road_West_Ramada_Hotel_seafood_China_restaurant_display_posters_Jan-2015_LG2.jpg#Licensing,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,IPTSETANG GG,IPTSETANG GG — HK Sai Ying Pun 德輔道西 Des Voeux Road West Ramada Hotel seafood China restaurant display posters Jan-2015 LG2.jpg — CC BY-SA 4.0 — via Wikimedia Commons,2026-08-12,2015-02-02T15:08:28Z,sha1:6bc2af6bba1aef26f454ab90859f7f800834f7ed,3264,1836,1280,720,1.77777778,1.77777778,aspect_hard_1,landscape,true,928c410d481f31f187db92b491777ebd14f3459a88e05a710e28febfb90cdb58,f48b69a7f0743d14,candidate_review/commons-08663052f2c9.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed.
commons-091487f19ae2,chinese_dense_poster,wikimedia_commons,File:Hong Kong Phewie (275921831).jpg,https://commons.wikimedia.org/wiki/File:Hong_Kong_Phewie_(275921831).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Hong_Kong_Phewie_%28275921831%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Hong_Kong_Phewie_%28275921831%29.jpg/1280px-Hong_Kong_Phewie_%28275921831%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Hong_Kong_Phewie_(275921831).jpg#Licensing,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,thinboyfatter,thinboyfatter — Hong Kong Phewie (275921831).jpg — CC BY 2.0 — via Wikimedia Commons,2026-08-12,2024-02-22T04:31:56Z,sha1:3e3f32e1be9c3d819049f770c61c34ab75e74c29,2461,1417,1280,737,1.73677069,1.73677069,aspect_hard_1,landscape,true,fe48e0eb203a6787a88592aa39a88295648757ba6b86440ea601123a50842369,9af1a5cade96b110,candidate_review/commons-091487f19ae2.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed. Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Hong_Kong_Phewie_%28275921831%29.jpg/1280px-Hong_Kong_Phewie_%28275921831%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
commons-0aa6b16504d2,chinese_dense_poster,wikimedia_commons,File:1967-05 春耕海报.jpg,https://commons.wikimedia.org/wiki/File:1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg/1280px-1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg#Licensing,《人民画报》,《人民画报》 — 1967-05 春耕海报.jpg — Public domain — via Wikimedia Commons,2026-08-12,2018-01-28T12:22:56Z,sha1:bc89c604fde0e7e3ef6f947475f72708d2150c49,1505,718,1280,611,2.09492635,2.09492635,aspect_hard_2,landscape,true,fc57fc58ad29af48bc5c9b96f8bfc6f55f369f60dc00dda25bd9ef201f8f5cba,bc9c9e1ba7c6e085,candidate_review/commons-0aa6b16504d2.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed. Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg/1280px-1967-05_%E6%98%A5%E8%80%95%E6%B5%B7%E6%8A%A5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
commons-135a755bbe84,chinese_dense_poster,wikimedia_commons,File:Hong Kong Disneyland (10098426913).jpg,https://commons.wikimedia.org/wiki/File:Hong_Kong_Disneyland_(10098426913).jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Hong_Kong_Disneyland_%2810098426913%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Hong_Kong_Disneyland_%2810098426913%29.jpg/1280px-Hong_Kong_Disneyland_%2810098426913%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Hong_Kong_Disneyland_(10098426913).jpg#Licensing,CC0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,"Gary Todd from Xinzheng, China","Gary Todd from Xinzheng, China — Hong Kong Disneyland (10098426913).jpg — CC0 — via Wikimedia Commons",2026-08-12,2021-08-19T19:19:53Z,sha1:e8ea8675e1326d4ce1da475ff3ab3c37a43428f2,3888,2592,1280,853,1.50058617,1.50058617,aspect_hard_1,landscape,true,8e04fb062064ec4bc3a37f8c88475bcb3282c846f9a3141027ac0b32575e2c92,90a85e6f619768a4,candidate_review/commons-135a755bbe84.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed.
commons-149ef46c176d,chinese_dense_poster,wikimedia_commons,File:Chinese republic forever.jpg,https://commons.wikimedia.org/wiki/File:Chinese_republic_forever.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Chinese_republic_forever.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/4/4c/Chinese_republic_forever.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Chinese_republic_forever.jpg#Licensing,Public domain,https://commons.wikimedia.org/wiki/File:Chinese_republic_forever.jpg#Licensing,Unknown author Unknown author,Unknown author Unknown author — Chinese republic forever.jpg — Public domain — via Wikimedia Commons,2026-08-12,2006-03-14T20:41:24Z,sha1:eed2ab9190a5c38288a3213df8475120ae0fc4a3,1024,660,1024,660,1.55151515,1.55151515,aspect_hard_1,landscape,true,d7e100360959fb5b157a04dfc582463d359b6efa340676210242e4d6a7662b7a,f21a8d474da4b6f2,candidate_review/commons-149ef46c176d.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed.
commons-18d58fe71bbc,chinese_dense_poster,wikimedia_commons,File:20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (1).jpg,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%281%29.jpg/1280px-20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(1).jpg#Licensing,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,tenz1225,tenz1225 — 20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (1).jpg — CC BY-SA 2.0 — via Wikimedia Commons,2026-08-12,2014-05-22T18:24:08Z,sha1:868ccebdb5d37364ae09aa2d7bf67f975eeaf719,5472,3080,1280,720,1.77777778,1.77777778,aspect_hard_1,landscape,true,09f2adf748154d200ba82d539d7518435d0f967aeefccd48f27531c5952549a1,d9c560f8afb11b1c,candidate_review/commons-18d58fe71bbc.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed. Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%281%29.jpg/1280px-20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%281%29.jpg/1280px-20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
commons-19bdc420595d,chinese_dense_poster,wikimedia_commons,"File:Ke Huy Quan (Jonathan Ke Quan) and President Joe Biden talking before a screening of the film “American Born Chinese” on May 8, 2023 in the East Room of the White House - P20230508AS-1210.jpg","https://commons.wikimedia.org/wiki/File:Ke_Huy_Quan_(Jonathan_Ke_Quan)_and_President_Joe_Biden_talking_before_a_screening_of_the_film_%E2%80%9CAmerican_Born_Chinese%E2%80%9D_on_May_8,_2023_in_the_East_Room_of_the_White_House_-_P20230508AS-1210.jpg",https://upload.wikimedia.org/wikipedia/commons/d/df/Ke_Huy_Quan_%28Jonathan_Ke_Quan%29_and_President_Joe_Biden_talking_before_a_screening_of_the_film_%E2%80%9CAmerican_Born_Chinese%E2%80%9D_on_May_8%2C_2023_in_the_East_Room_of_the_White_House_-_P20230508AS-1210.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ke_Huy_Quan_%28Jonathan_Ke_Quan%29_and_President_Joe_Biden_talking_before_a_screening_of_the_film_%E2%80%9CAmerican_Born_Chinese%E2%80%9D_on_May_8%2C_2023_in_the_East_Room_of_the_White_House_-_P20230508AS-1210.jpg/1280px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Ke_Huy_Quan_(Jonathan_Ke_Quan)_and_President_Joe_Biden_talking_before_a_screening_of_the_film_%E2%80%9CAmerican_Born_Chinese%E2%80%9D_on_May_8,_2023_in_the_East_Room_of_the_White_House_-_P20230508AS-1210.jpg#Licensing",Public domain,"https://commons.wikimedia.org/wiki/File:Ke_Huy_Quan_(Jonathan_Ke_Quan)_and_President_Joe_Biden_talking_before_a_screening_of_the_film_%E2%80%9CAmerican_Born_Chinese%E2%80%9D_on_May_8,_2023_in_the_East_Room_of_the_White_House_-_P20230508AS-1210.jpg#Licensing",The White House,"The White House — Ke Huy Quan (Jonathan Ke Quan) and President Joe Biden talking before a screening of the film “American Born Chinese” on May 8, 2023 in the East Room of the White House - P20230508AS-1210.jpg — Public domain — via Wikimedia Commons",2026-08-12,2023-05-17T21:46:31Z,sha1:81079f4892478913c3517f0c37aeb932f9df3e94,3000,2000,1280,853,1.50058617,1.50058617,aspect_hard_1,landscape,true,54b04a1c28fa77ff1478dcae1321b8e92ad3c6eefbcc26449f8b1017bea44ba1,d6dda384592856f9,candidate_review/commons-19bdc420595d.bin,downloaded,Commons Chinese-poster search; scene remains unreviewed. Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ke_Huy_Quan_%28Jonathan_Ke_Quan%29_and_President_Joe_Biden_talking_before_a_screening_of_the_film_%E2%80%9CAmerican_Born_Chinese%E2%80%9D_on_May_8%2C_2023_in_the_East_Room_of_the_White_House_-_P20230508AS-1210.jpg/1280px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail Download failure: 429 Client Error: Your bot is making too many requests. Please reduce your request rate or contact bot-traffic@wikimedia.org (f263c81) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ke_Huy_Quan_%28Jonathan_Ke_Quan%29_and_President_Joe_Biden_talking_before_a_screening_of_the_film_%E2%80%9CAmerican_Born_Chinese%E2%80%9D_on_May_8%2C_2023_in_the_East_Room_of_the_White_House_-_P20230508AS-1210.jpg/1280px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
