source_id,proposed_scene,decision,final_scene,scene_confirmed,safety_confirmed,real_world_confirmed,non_fixture_confirmed,license_review_status,non_copyright_review_status,api_egress_allowed,reviewer,review_reason
commons-9eeb42c822f0,chinese_dense_poster,select_pilot,chinese_dense_poster,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on chinese_dense_poster eligible overview 01; a narrow real photographed Chinese public notice with dense legible text; no sensitive content or fixture traits.
commons-53a6c8699582,chinese_dense_poster,select_pilot,chinese_dense_poster,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed both on chinese_dense_poster eligible overview 03 and at original thumbnail resolution; a real Beijing-Kowloon rail notice dominated by dense Simplified Chinese instructions and a fare table; CC attribution reviewed.
commons-4d228f39424f,chinese_dense_poster,select_pilot,chinese_dense_poster,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed both on chinese_dense_poster eligible overview 03 and at original thumbnail resolution; a real cinema ticket window covered by many Traditional Chinese posters schedules prices and signs; CC attribution reviewed.
commons-4d536d9f0f2e,chinese_dense_poster,select_pilot,chinese_dense_poster,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on chinese_dense_poster eligible overview 08; a very wide real Chinese propaganda display with a large headline and structural graphics; CC attribution reviewed.
commons-137b888c6f8f,chinese_dense_poster,select_pilot,chinese_dense_poster,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on chinese_dense_poster eligible overview 01; a portrait-format Chinese health information poster with many text and icon regions; no unsafe content.
commons-17fab55d06c5,chinese_dense_poster,select_pilot,chinese_dense_poster,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on chinese_dense_poster eligible overview 01; a real historical newspaper advertisement densely typeset in Chinese; non-fixture and license status confirmed.
commons-2f3f755b2d48,chinese_dense_poster,select_pilot,chinese_dense_poster,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on chinese_dense_poster eligible overview 02; a real portrait Chinese notice with dense handwritten and printed content; no sensitive content.
commons-48008889c8fa,chinese_dense_poster,select_pilot,chinese_dense_poster,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on chinese_dense_poster eligible overview 03; a real yellow Chinese instruction poster with dense copy and graphics; public-domain evidence reviewed.
commons-493ed5423e48,chinese_dense_poster,select_pilot,chinese_dense_poster,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on chinese_dense_poster eligible overview 03; a real public bulletin board containing several Chinese information panels; safe public context confirmed.
commons-5bd2a6c868c7,chinese_dense_poster,select_pilot,chinese_dense_poster,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on chinese_dense_poster eligible overview 03; a real digitized Chinese newspaper sheet with dense vertical text; public-domain evidence reviewed.
oi-09a786d569d8a554,single_product_promo,select_pilot,single_product_promo,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 02; a real single chocolate-cake product photograph with one dominant item; OI per-image CC attribution reviewed.
commons-af7ad10e9f0b,single_product_promo,select_pilot,single_product_promo,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 03; a real historical Sozodont print advertisement focused on one product; public-domain evidence reviewed.
oi-08f5c5a0622db3aa,single_product_promo,select_pilot,single_product_promo,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 02 and rechecked in the final pilot overview; a real close-up of one colorful LEGO construction as the dominant product subject; OI per-image CC attribution reviewed.
oi-0e88bd648d73e546,single_product_promo,select_pilot,single_product_promo,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 03; a real single athletic-shoe product photograph on a clean background; OI per-image CC attribution reviewed and API egress disabled for trademark caution.
oi-0ee1bc2b29a03686,single_product_promo,select_pilot,single_product_promo,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 03; a real single dress-shoe product photograph with clear silhouette; OI per-image CC attribution reviewed.
oi-10bcbd59753ff556,single_product_promo,select_pilot,single_product_promo,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 03 and rechecked in the final pilot overview; a real close-up food photograph with one plated meatball as the dominant item; OI per-image CC attribution reviewed.
oi-0e2d31f8b59f5f51,single_product_promo,select_pilot,single_product_promo,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 03 and rechecked in the final pilot overview; a real portrait-format food photograph with one roasted duck dish as the dominant item; OI per-image CC attribution reviewed.
oi-0c9c9ebe5c9aff0b,single_product_promo,select_pilot,single_product_promo,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 03 and rechecked in the final pilot overview; a real boxed laptop product photograph with one dominant package; OI per-image CC attribution reviewed and API egress disabled for trademark caution.
commons-a7fba6bf9954,single_product_promo,select_pilot,single_product_promo,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 03; a very wide real historical toothpaste advertisement with product copy and price; public-domain evidence reviewed.
commons-e6f81b5d23a9,single_product_promo,select_pilot,single_product_promo,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 03; a tall real historical Edison phonograph advertisement with product image and sales copy; CC0 evidence reviewed.
commons-8b9c974d7946,multi_product_commercial,select_pilot,multi_product_commercial,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on multi_product_commercial eligible overview 02; a real market display with many packaged products and sales signage; public non-sensitive context and attribution reviewed.
commons-060cf824bc31,multi_product_commercial,select_pilot,multi_product_commercial,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on multi_product_commercial eligible overview 01; a real grocery produce display with many products and price labels; attribution reviewed and trademark egress disabled.
commons-0ebe9b03b237,multi_product_commercial,select_pilot,multi_product_commercial,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on multi_product_commercial eligible overview 01; a real night-market stall with many packaged food products and display elements; safe public scene confirmed.
commons-0fc19abdcf08,multi_product_commercial,select_pilot,multi_product_commercial,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on multi_product_commercial eligible overview 01; a real vendor stall with multiple packaged goods and visible commercial display; safe public context confirmed.
commons-34efc5c0961b,multi_product_commercial,select_pilot,multi_product_commercial,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on multi_product_commercial eligible overview 01; a real food stall containing several products and signs; attribution and non-sensitive public context reviewed.
commons-38daa7762286,multi_product_commercial,select_pilot,multi_product_commercial,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on multi_product_commercial eligible overview 01; a real market counter with many products and busy background details; safe public commercial scene confirmed.
commons-60bd054c9b05,multi_product_commercial,select_pilot,multi_product_commercial,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on multi_product_commercial eligible overview 01; a real night stall with multiple displayed goods and signs; attribution and content safety reviewed.
commons-7236651943ec,multi_product_commercial,select_pilot,multi_product_commercial,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on multi_product_commercial eligible overview 02; a real grocery produce aisle with many products and price markers; trademark egress disabled.
commons-daab2d475e08,single_product_promo,select_pilot,multi_product_commercial,true,true,true,true,approved,approved_for_research_benchmark,false,codex,Viewed on single_product_promo eligible overview 03 and manually corrected; three real branded cars form a multi-product commercial row; attribution reviewed and API egress disabled.
